Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,1,1,3999995,4,1,4409600
1,1,0,3999993,6,1,2893500
2,2,0,3999992,7,1,2744600
3,1,1,3999990,8,2,2610800
4,2,0,3999988,10,2,2490200
5,3,0,3999987,11,2,2560400
6,0,0,3999985,13,2,2571800
7,5,3,3999981,14,5,2711300
8,2,0,3999978,17,5,2579800
9,2,1,3999977,17,6,2440900
10,1,3,3999975,16,9,2559900
11,3,1,3999973,17,10,2600100
12,1,1,3999971,18,11,2423900
13,2,0,3999970,19,11,2633400
14,5,2,3999964,23,13,2496100
15,8,1,3999959,27,14,2430500
16,3,1,3999953,32,15,2722500
17,2,1,3999951,33,16,2578400
18,3,1,3999949,34,17,2362300
19,3,0,3999947,36,17,2542700
20,5,4,3999941,38,21,2571400
21,5,0,3999938,41,21,2505600
22,4,2,3999933,44,23,2466400
23,9,4,3999924,49,27,2316600
24,10,2,3999913,58,29,2415800
25,7,2,3999907,62,31,2551800
26,7,6,3999898,65,37,2495900
27,7,3,3999893,67,40,2455700
28,11,5,3999884,71,45,2442400
29,4,5,3999876,74,50,2416900
30,10,0,3999869,81,50,2509400
31,11,4,3999856,90,54,2738600
32,14,3,3999845,98,57,2931200
33,9,6,3999833,104,63,2564300
34,23,2,3999815,120,65,2677400
35,16,9,3999796,130,74,2509900
36,18,10,3999777,139,84,2468400
37,16,7,3999765,144,91,2348200
38,17,6,3999745,158,97,2480500
39,17,6,3999726,171,103,2428200
40,25,14,3999704,179,117,2346600
41,14,6,3999690,187,123,2326900
42,25,5,3999665,207,128,2369300
43,32,16,3999633,223,144,2486800
44,31,14,3999608,234,158,2368000
45,19,11,3999585,246,169,2648900
46,18,12,3999564,255,181,2476800
47,24,17,3999546,256,198,2450200
48,20,10,3999523,269,208,2574300
49,26,10,3999496,286,218,2523900
50,15,11,3999479,292,229,2747700
51,25,20,3999459,292,249,2533000
52,20,12,3999434,305,261,2612000
53,17,20,3999417,302,281,2799000
54,30,19,3999391,309,300,2529200
55,22,14,3999369,317,314,2863900
56,34,25,3999337,324,339,2694100
57,38,16,3999300,345,355,2729500
58,37,17,3999261,367,372,2699200
59,38,9,3999219,400,381,2627800
60,31,24,3999194,401,405,2782600
61,38,21,3999155,419,426,2460200
62,30,20,3999126,428,446,2499400
63,42,24,3999082,448,470,2419400
64,34,28,3999048,454,498,2324700
65,41,20,3999009,473,518,2401600
66,41,31,3998964,487,549,2393700
67,39,25,3998928,498,574,2681400
68,34,23,3998894,509,597,2367600
69,28,19,3998862,522,616,2530000
70,42,36,3998834,514,652,2802900
71,48,37,3998776,535,689,2705600
72,43,33,3998740,538,722,2505700
73,31,27,3998701,550,749,2466100
74,41,25,3998659,567,774,2623500
75,28,30,3998633,563,804,2378400
76,55,38,3998576,582,842,2440500
77,44,35,3998540,583,877,2395100
78,40,29,3998495,599,906,2483700
79,51,36,3998450,608,942,2388600
80,53,33,3998393,632,975,2533600
81,34,37,3998354,634,1012,2320700
82,47,34,3998313,641,1046,2279200
83,51,30,3998261,663,1076,2416100
84,50,28,3998210,686,1104,2422700
85,69,35,3998143,718,1139,2325400
86,57,30,3998085,746,1169,2260100
87,47,32,3998036,763,1201,2411400
88,55,36,3997982,781,1237,2535900
89,67,39,3997919,805,1276,2467000
90,59,43,3997857,824,1319,2439100
91,53,46,3997807,828,1365,2359700
92,58,29,3997745,861,1394,2314600
93,73,46,3997675,885,1440,2290700
94,55,41,3997620,899,1481,2314700
95,58,49,3997556,914,1530,2241600
96,78,57,3997483,930,1587,2288200
97,64,48,3997421,944,1635,2385600
98,65,50,3997356,959,1685,2349600
99,67,49,3997293,973,1734,2337700
100,74,39,3997213,1014,1773,2328100
101,71,38,3997142,1047,1811,2348700
102,71,40,3997079,1070,1851,2494800
103,77,64,3996999,1086,1915,2369600
104,77,61,3996924,1100,1976,2430200
105,67,49,3996855,1120,2025,2445900
106,78,72,3996772,1131,2097,2329500
107,65,61,3996706,1136,2158,2351800
108,78,50,3996635,1157,2208,2321300
109,76,73,3996561,1158,2281,2349200
110,73,62,3996484,1173,2343,2362600
111,70,70,3996415,1172,2413,2326400
112,59,61,3996354,1172,2474,2328000
113,65,58,3996288,1180,2532,2364600
114,92,72,3996205,1191,2604,2431700
115,78,55,3996121,1220,2659,2280000
116,96,85,3996030,1226,2744,2352900
117,83,73,3995943,1240,2817,2449600
118,85,69,3995860,1254,2886,2403200
119,88,83,3995776,1255,2969,2364000
120,104,76,3995670,1285,3045,2297200
121,98,70,3995569,1316,3115,2356800
122,94,74,3995478,1333,3189,2341000
123,110,76,3995372,1363,3265,2287500
124,99,62,3995272,1401,3327,2369400
125,112,68,3995158,1447,3395,2433800
126,108,77,3995055,1473,3472,2331100
127,105,74,3994946,1508,3546,2443000
128,90,76,3994862,1516,3622,2366600
129,104,79,3994752,1547,3701,2445700
130,98,88,3994647,1564,3789,2628300
131,92,74,3994567,1570,3863,2388400
132,88,87,3994469,1581,3950,2318700
133,100,92,3994374,1584,4042,2346000
134,93,79,3994275,1604,4121,2332300
135,120,79,3994159,1641,4200,2382100
136,96,79,3994076,1645,4279,2314900
137,98,111,3993956,1654,4390,2446200
138,105,93,3993856,1661,4483,2314300
139,105,80,3993762,1675,4563,2259200
140,106,70,3993649,1718,4633,2411900
141,117,87,3993544,1736,4720,2492200
142,115,87,3993422,1771,4807,2404500
143,100,89,3993315,1789,4896,2470700
144,106,91,3993222,1791,4987,2529300
145,111,96,3993096,1821,5083,2574200
146,100,104,3993008,1805,5187,3103000
147,123,107,3992896,1810,5294,2597700
148,120,95,3992752,1859,5389,3127100
149,127,103,3992641,1867,5492,3106800
150,111,92,3992525,1891,5584,2945300
151,112,99,3992412,1905,5683,2588200
152,131,95,3992275,1947,5778,2936700
153,127,92,3992150,1980,5870,2566200
154,113,105,3992039,1986,5975,5350100
155,123,103,3991921,2001,6078,2948100
156,134,112,3991786,2024,6190,2780700
157,131,105,3991648,2057,6295,2583500
158,126,117,3991534,2054,6412,2629200
159,121,115,3991404,2069,6527,2634300
160,145,113,3991266,2094,6640,4041700
161,118,103,3991141,2116,6743,13582600
162,121,108,3991025,2124,6851,5486600
