Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,2249993,7,0,4880400
1,1,0,2249992,8,0,4698900
2,0,1,2249992,7,1,4490000
3,3,0,2249989,10,1,4449300
4,3,0,2249986,13,1,4332600
5,5,1,2249981,17,2,4410200
6,5,0,2249976,22,2,4382600
7,1,2,2249975,21,4,4261700
8,4,2,2249971,23,6,4225000
9,9,2,2249962,30,8,4230000
10,7,2,2249955,35,10,4523600
11,7,1,2249948,41,11,4497100
12,4,0,2249944,45,11,4336700
13,9,1,2249935,53,12,4598200
14,6,2,2249929,57,14,4356900
15,4,6,2249925,55,20,4255200
16,7,2,2249918,60,22,4423300
17,12,2,2249906,70,24,4214800
18,2,3,2249904,69,27,4183000
19,3,7,2249901,65,34,4356200
20,4,0,2249897,69,34,4296700
21,7,4,2249890,72,38,4419100
22,9,3,2249881,78,41,4474100
23,6,3,2249875,81,44,4192100
24,12,4,2249863,89,48,4748600
25,9,5,2249854,93,53,4315900
26,11,4,2249843,100,57,4394000
27,13,6,2249830,107,63,4201800
28,8,4,2249822,111,67,4366900
29,7,6,2249815,112,73,4304800
30,8,7,2249807,113,80,4302800
31,4,4,2249803,113,84,4183900
32,7,11,2249796,109,95,4324700
33,14,3,2249782,120,98,4237400
34,19,7,2249763,132,105,4276100
35,12,8,2249751,136,113,4624400
36,15,2,2249736,149,115,4462500
37,15,7,2249721,157,122,4781700
38,19,6,2249702,170,128,4437900
39,19,2,2249683,187,130,4707700
40,19,11,2249664,195,141,4518400
41,21,13,2249643,203,154,4397700
42,31,12,2249612,222,166,4698600
43,18,14,2249594,226,180,4445600
44,14,13,2249580,227,193,4398800
45,20,10,2249560,237,203,4694300
46,16,16,2249544,237,219,4409300
47,17,12,2249527,242,231,4871400
48,24,10,2249503,256,241,4816200
49,20,15,2249483,261,256,4571500
50,23,9,2249460,275,265,4921000
51,19,12,2249441,282,277,4611200
52,20,15,2249421,287,292,4481000
53,17,9,2249404,295,301,4427900
54,31,22,2249373,304,323,4469900
55,36,14,2249337,326,337,4430600
56,26,16,2249311,336,353,4151600
57,33,10,2249278,359,363,4203600
58,37,15,2249241,381,378,4267600
59,29,16,2249212,394,394,4241800
60,38,23,2249174,409,417,4279000
61,30,18,2249144,421,435,4351100
62,26,24,2249118,423,459,4422500
63,35,24,2249083,434,483,4406000
64,37,28,2249046,443,511,4437400
65,35,24,2249011,454,535,4354200
66,29,17,2248982,466,552,4287800
67,40,26,2248942,480,578,4325000
68,39,19,2248903,500,597,4422900
69,38,25,2248865,513,622,4247400
70,38,27,2248827,524,649,4506300
71,36,30,2248791,530,679,4312900
72,41,29,2248750,542,708,4297000
73,37,19,2248713,560,727,4486700
74,33,28,2248680,565,755,4445000
75,23,23,2248657,565,778,4462000
76,40,33,2248617,572,811,4303600
77,46,19,2248571,599,830,4260800
78,42,30,2248529,611,860,4511600
79,52,35,2248477,628,895,4361800
80,43,43,2248434,628,938,4292700
81,41,32,2248393,637,970,4357600
82,43,35,2248350,645,1005,4279100
83,43,24,2248307,664,1029,4265600
84,52,27,2248255,689,1056,4377500
85,66,40,2248189,715,1096,4219100
86,48,23,2248141,740,1119,4332900
87,54,45,2248087,749,1164,4886900
88,50,30,2248037,769,1194,4322700
89,54,36,2247983,787,1230,4289600
90,51,34,2247932,804,1264,4231600
91,45,36,2247887,813,1300,4298800
92,48,48,2247839,813,1348,4263200
93,38,41,2247801,810,1389,4304500
94,63,39,2247738,834,1428,4266600
95,53,43,2247685,844,1471,4382300
96,55,37,2247630,862,1508,4492600
97,59,35,2247571,886,1543,4285600
98,64,43,2247507,907,1586,4266000
99,42,47,2247465,902,1633,4491900
100,43,59,2247422,886,1692,4815800
101,57,48,2247365,895,1740,4508200
102,55,36,2247310,914,1776,4297200
103,60,48,2247250,926,1824,4324900
104,68,49,2247182,945,1873,4237500
105,76,53,2247106,968,1926,4480100
106,68,43,2247038,993,1969,4428800
107,53,54,2246985,992,2023,4340800
108,51,54,2246934,989,2077,4381000
109,69,46,2246865,1012,2123,4267700
110,69,46,2246796,1035,2169,4445100
111,67,48,2246729,1054,2217,4283600
112,71,64,2246658,1061,2281,4497500
113,63,61,2246595,1063,2342,4342600
114,62,67,2246533,1058,2409,4260000
115,58,55,2246475,1061,2464,4437400
116,55,53,2246420,1063,2517,4429000
117,68,47,2246352,1084,2564,4249900
118,54,56,2246298,1082,2620,4432900
119,59,51,2246239,1090,2671,4319700
120,61,52,2246178,1099,2723,4621300
121,46,55,2246132,1090,2778,4570400
122,55,65,2246077,1080,2843,4418400
123,56,53,2246021,1083,2896,4641400
124,56,62,2245965,1077,2958,4597300
125,62,67,2245903,1072,3025,4555900
126,53,56,2245850,1069,3081,4529100
127,60,40,2245790,1089,3121,4471900
128,63,57,2245727,1095,3178,4428400
129,68,56,2245659,1107,3234,4385100
130,74,52,2245585,1129,3286,4395500
131,69,51,2245516,1147,3337,4337700
132,64,66,2245452,1145,3403,4524500
133,82,49,2245370,1178,3452,4461600
134,81,54,2245289,1205,3506,4443600
135,69,52,2245220,1222,3558,4464900
136,58,57,2245162,1223,3615,4388400
137,72,56,2245090,1239,3671,4514700
138,67,57,2245023,1249,3728,4411500
139,83,58,2244940,1274,3786,4286200
140,72,46,2244868,1300,3832,4302800
141,64,75,2244804,1289,3907,4525900
142,73,81,2244731,1281,3988,4327300
143,73,62,2244658,1292,4050,4467700
144,69,63,2244589,1298,4113,4297000
145,78,69,2244511,1307,4182,4255600
146,77,58,2244434,1326,4240,4280500
147,77,74,2244357,1329,4314,4498200
148,78,68,2244279,1339,4382,4358600
149,89,60,2244190,1368,4442,4381300
150,85,69,2244105,1384,4511,4327700
151,87,58,2244018,1413,4569,4898000
152,72,60,2243946,1425,4629,4564100
153,76,76,2243870,1425,4705,4436900
154,89,71,2243781,1443,4776,4753100
155,88,77,2243693,1454,4853,4496600
156,94,70,2243599,1478,4923,4603500
157,91,71,2243508,1498,4994,4507500
158,106,74,2243402,1530,5068,4380000
159,99,64,2243303,1565,5132,4349100
160,97,86,2243206,1576,5218,4617500
161,104,89,2243102,1591,5307,4539100
162,94,81,2243008,1604,5388,4507800
163,120,73,2242888,1651,5461,4308700
164,97,83,2242791,1665,5544,4364400
165,99,75,2242692,1689,5619,4137300
166,81,97,2242611,1673,5716,4219300
167,96,78,2242515,1691,5794,4323500
168,89,78,2242426,1702,5872,4491400
169,83,91,2242343,1694,5963,4278900
170,88,116,2242255,1666,6079,4226000
171,89,90,2242166,1665,6169,4218700
172,94,76,2242072,1683,6245,4243400
173,91,91,2241981,1683,6336,4341700
174,89,84,2241892,1688,6420,4323000
175,97,73,2241795,1712,6493,4558500
176,95,83,2241700,1724,6576,4501800
177,98,83,2241602,1739,6659,4237400
178,105,78,2241497,1766,6737,4429900
179,116,90,2241381,1792,6827,4334400
180,99,89,2241282,1802,6916,4243800
181,99,105,2241183,1796,7021,4296000
182,118,90,2241065,1824,7111,4264300
183,114,90,2240951,1848,7201,4474900
184,100,109,2240851,1839,7310,4395600
185,107,98,2240744,1848,7408,4472600
186,100,96,2240644,1852,7504,4543500
187,104,85,2240540,1871,7589,4333500
188,126,97,2240414,1900,7686,4477400
189,134,119,2240280,1915,7805,4925200
190,121,102,2240159,1934,7907,4805500
191,101,102,2240058,1933,8009,4563400
192,107,104,2239951,1936,8113,4358000
193,126,127,2239825,1935,8240,4515700
194,132,101,2239693,1966,8341,4266200
195,131,81,2239562,2016,8422,4183700
196,123,99,2239439,2040,8521,4342900
197,115,104,2239324,2051,8625,4305900
198,107,117,2239217,2041,8742,4302600
199,125,106,2239092,2060,8848,4364800
200,125,121,2238967,2064,8969,4661200
201,124,121,2238843,2067,9090,4502700
202,109,113,2238734,2063,9203,4481500
203,115,100,2238619,2078,9303,4614900
204,107,123,2238512,2062,9426,4349400
205,100,92,2238412,2070,9518,4398200
206,113,115,2238299,2068,9633,4325500
207,112,98,2238187,2082,9731,4306500
208,129,98,2238058,2113,9829,4396700
209,116,127,2237942,2102,9956,4462700
210,116,108,2237826,2110,10064,4163400
211,132,109,2237694,2133,10173,4329700
212,101,108,2237593,2126,10281,4311100
213,122,123,2237471,2125,10404,4388300
214,135,105,2237336,2155,10509,4597100
215,143,93,2237193,2205,10602,4542900
216,148,92,2237045,2261,10694,4202000
217,150,114,2236895,2297,10808,4313100
218,141,94,2236754,2344,10902,4295700
219,125,107,2236629,2362,11009,4192800
220,147,123,2236482,2386,11132,4440900
221,128,113,2236354,2401,11245,4433500
222,150,114,2236204,2437,11359,4329200
223,144,139,2236060,2442,11498,4249000
224,142,109,2235918,2475,11607,4216700
225,139,128,2235779,2486,11735,4243600
226,147,118,2235632,2515,11853,4438600
227,138,150,2235494,2503,12003,4473200
228,140,130,2235354,2513,12133,4311800
229,139,114,2235215,2538,12247,4262200
230,135,123,2235080,2550,12370,4474700
231,159,131,2234921,2578,12501,4382900
232,150,138,2234771,2590,12639,4301000
233,133,144,2234638,2579,12783,4506100
234,118,112,2234520,2585,12895,4293500
235,132,129,2234388,2588,13024,4234800
236,170,128,2234218,2630,13152,4312200
237,165,128,2234053,2667,13280,4365100
238,145,144,2233908,2668,13424,4339600
239,136,118,2233772,2686,13542,4445100
240,156,128,2233616,2714,13670,4357200
241,145,131,2233471,2728,13801,4445000
242,176,133,2233295,2771,13934,4407300
243,145,150,2233150,2766,14084,4314400
244,147,145,2233003,2768,14229,4285400
245,148,163,2232855,2753,14392,4311800
246,158,143,2232697,2768,14535,4416900
247,146,116,2232551,2798,14651,4331000
248,144,136,2232407,2806,14787,4292500
249,160,134,2232247,2832,14921,4433100
250,154,154,2232093,2832,15075,4393200
251,147,149,2231946,2830,15224,4335700
252,160,147,2231786,2843,15371,5059300
253,144,164,2231642,2823,15535,4858800
254,167,150,2231475,2840,15685,4593600
255,167,138,2231308,2869,15823,4331600
256,160,144,2231148,2885,15967,4377500
257,148,153,2231000,2880,16120,4407700
258,157,160,2230843,2877,16280,4350500
259,150,146,2230693,2881,16426,4362800
260,137,121,2230556,2897,16547,4275800
261,147,149,2230409,2895,16696,4270300
262,165,158,2230244,2902,16854,4553900
263,145,135,2230099,2912,16989,4445700
264,154,174,2229945,2892,17163,4250000
265,163,149,2229782,2906,17312,4482600
266,136,145,2229646,2897,17457,4412400
267,148,145,2229498,2900,17602,4447500
268,155,138,2229343,2917,17740,4565700
269,133,131,2229210,2919,17871,4359800
270,175,138,2229035,2956,18009,4436400
271,164,154,2228871,2966,18163,4336900
272,175,166,2228696,2975,18329,4286700
273,156,138,2228540,2993,18467,4519800
274,188,141,2228352,3040,18608,4277000
275,170,150,2228182,3060,18758,4431200
276,176,158,2228006,3078,18916,4337200
277,150,165,2227856,3063,19081,4637700
278,170,133,2227686,3100,19214,4763100
279,171,166,2227515,3105,19380,4381500
280,167,156,2227348,3116,19536,4329700
281,175,186,2227173,3105,19722,4252600
282,144,136,2227029,3113,19858,4299200
283,162,169,2226867,3106,20027,4544600
284,161,130,2226706,3137,20157,4411900
285,156,150,2226550,3143,20307,4417100
286,172,166,2226378,3149,20473,4458900
287,173,164,2226205,3158,20637,4321100
288,167,172,2226038,3153,20809,4377000
289,163,151,2225875,3165,20960,4385400
290,176,158,2225699,3183,21118,4455000
291,182,149,2225517,3216,21267,4327000
292,181,157,2225336,3240,21424,4330700
293,183,140,2225153,3283,21564,4314400
294,198,173,2224955,3308,21737,4537600
295,204,172,2224751,3340,21909,4356900
296,178,174,2224573,3344,22083,4271100
297,197,157,2224376,3384,22240,4403800
298,189,181,2224187,3392,22421,4459500
299,178,154,2224009,3416,22575,4476900
300,192,153,2223817,3455,22728,4440600
301,200,172,2223617,3483,22900,4297300
302,214,171,2223403,3526,23071,4453100
303,204,178,2223199,3552,23249,4585800
304,192,154,2223007,3590,23403,4602000
305,177,191,2222830,3576,23594,4388600
