Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,249993,7,0,832800
1,2,0,249991,9,0,147800
2,4,2,249987,11,2,143400
3,0,3,249987,8,5,125400
4,2,0,249985,10,5,124200
5,4,1,249981,13,6,114900
6,1,1,249980,13,7,144900
7,3,0,249978,15,7,125800
8,4,1,249973,19,8,134700
9,4,1,249969,22,9,121700
10,6,1,249964,26,10,111200
11,7,1,249956,33,11,95700
12,9,2,249948,39,13,108000
13,7,0,249940,47,13,109000
14,6,0,249934,53,13,104200
15,6,6,249928,53,19,114800
16,8,6,249920,55,25,164900
17,5,2,249916,57,27,120200
18,11,4,249905,64,31,114800
19,14,8,249890,71,39,120900
20,11,3,249879,79,42,123600
21,8,4,249872,82,46,126400
22,15,3,249856,95,49,139400
23,8,7,249849,95,56,116600
24,11,8,249837,99,64,106100
25,16,7,249821,108,71,131100
26,14,7,249808,114,78,112700
27,10,7,249797,118,85,106400
28,10,4,249789,122,89,129400
29,19,8,249772,131,97,113800
30,13,7,249755,141,104,101400
31,17,7,249739,150,111,114900
32,14,11,249725,153,122,101100
33,14,12,249710,156,134,99900
34,21,6,249690,170,140,114300
35,17,8,249673,179,148,103100
36,32,11,249644,197,159,104100
37,27,17,249613,211,176,122000
38,18,11,249595,218,187,106200
39,26,14,249572,227,201,98000
40,22,7,249550,242,208,101200
41,29,20,249521,251,228,114400
42,32,13,249489,270,241,117900
43,34,14,249456,289,255,111500
44,24,18,249430,297,273,109000
45,28,16,249403,308,289,113000
46,26,19,249374,318,308,112400
47,27,24,249349,319,332,116800
48,31,7,249320,341,339,100900
49,36,15,249282,364,354,119600
50,20,21,249262,363,375,111600
51,28,23,249234,368,398,110100
52,37,28,249198,376,426,106500
53,31,23,249164,387,449,102200
54,31,20,249134,397,469,106000
55,36,23,249102,406,492,104400
56,44,16,249054,438,508,159800
57,52,19,249003,470,527,111000
58,39,26,248962,485,553,103900
59,29,26,248933,488,579,114200
60,34,23,248901,497,602,108000
61,34,25,248866,507,627,112600
62,36,31,248829,513,658,120000
63,37,25,248794,523,683,128600
64,36,32,248756,529,715,124100
65,44,32,248713,540,747,108300
66,50,25,248665,563,772,125000
67,38,26,248627,575,798,110400
68,38,32,248588,582,830,107100
69,50,24,248541,605,854,125100
70,53,36,248485,625,890,102800
71,38,49,248448,613,939,111700
