Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,562493,7,0,28137800
1,3,0,562490,10,0,6811700
2,1,1,562489,10,1,11914600
3,3,0,562486,13,1,5437300
4,2,1,562484,14,2,5246700
5,6,1,562478,19,3,4389500
6,4,1,562474,22,4,4492400
7,1,3,562473,20,7,5648000
8,4,0,562469,24,7,4764100
9,7,0,562462,31,7,3680600
10,9,2,562453,38,9,1241800
11,10,3,562443,45,12,985200
12,7,1,562436,51,13,1008700
13,9,3,562427,57,16,843400
14,7,1,562420,63,17,833500
15,5,7,562415,61,24,812100
16,6,3,562409,64,27,878300
17,11,1,562398,74,28,921300
18,5,6,562393,73,34,843500
19,6,0,562387,79,34,846000
20,9,1,562378,87,35,806600
21,7,4,562371,90,39,1043200
22,11,3,562360,98,42,861500
23,11,4,562349,105,46,882700
24,11,3,562338,113,49,999200
25,6,6,562332,113,55,847400
26,17,3,562315,127,58,887800
27,17,8,562298,136,66,999100
28,10,6,562288,140,72,822500
29,13,9,562275,144,81,802600
30,18,4,562257,158,85,812500
31,15,3,562242,170,88,799400
32,13,12,562229,171,100,822000
33,24,7,562205,188,107,862700
34,21,13,562184,196,120,812600
35,16,5,562168,207,125,797900
36,23,8,562145,222,133,848500
37,21,7,562124,236,140,797900
38,34,7,562090,263,147,848600
39,28,10,562062,281,157,818500
40,17,7,562045,291,164,813000
41,31,18,562014,304,182,1039300
42,31,17,561983,318,199,972500
43,25,14,561958,329,213,992700
44,22,21,561936,330,234,1046500
45,25,13,561911,342,247,972900
46,19,15,561892,346,262,1010200
47,19,21,561873,344,283,1049600
48,26,15,561847,355,298,1020100
49,20,20,561827,355,318,1009000
50,20,15,561807,360,333,979700
51,23,14,561784,369,347,1059000
52,30,19,561754,380,366,972900
53,22,17,561732,385,383,1044300
54,27,16,561705,396,399,1242300
55,39,20,561666,415,419,1190400
56,25,12,561641,428,431,1477100
57,47,16,561594,459,447,1046400
58,34,24,561560,469,471,1063000
59,38,24,561522,483,495,994200
60,27,27,561495,483,522,1080900
61,34,24,561461,493,546,1038600
62,40,24,561421,509,570,1288400
63,37,18,561384,528,588,1017300
64,39,36,561345,531,624,1008300
65,35,27,561310,539,651,988600
66,37,20,561273,556,671,992600
67,33,34,561240,555,705,1014300
68,44,21,561196,578,726,988900
69,33,21,561163,590,747,1000600
70,39,31,561124,598,778,1037100
71,44,44,561080,598,822,1049500
72,26,31,561054,593,853,1009300
73,40,16,561014,617,869,1006100
74,41,28,560973,630,897,1003700
75,38,33,560935,635,930,978200
76,44,33,560891,646,963,998900
77,43,31,560848,658,994,988200
78,46,29,560802,675,1023,975000
79,47,39,560755,683,1062,1144400
80,43,46,560712,680,1108,991700
81,45,40,560667,685,1148,1134900
82,54,38,560613,701,1186,987100
83,52,32,560561,721,1218,1012900
84,53,35,560508,739,1253,1015500
85,66,35,560442,770,1288,1101600
86,36,43,560406,763,1331,1111200
87,54,38,560352,779,1369,1054000
88,67,29,560285,817,1398,1001600
89,50,41,560235,826,1439,984700
