Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,999993,7,0,2430900
1,2,1,999991,8,1,2356900
2,2,1,999989,9,2,2252300
3,5,0,999984,14,2,2299700
4,2,0,999982,16,2,2339000
5,3,2,999979,17,4,2310500
6,6,1,999973,22,5,2268800
7,4,0,999969,26,5,2258500
8,4,1,999965,29,6,2230900
9,8,1,999957,36,7,2309400
10,7,3,999950,40,10,2427600
11,3,4,999947,39,14,2369000
12,10,1,999937,48,15,2310400
13,8,2,999929,54,17,2315100
14,4,5,999925,53,22,2286200
15,7,4,999918,56,26,2288300
16,6,7,999912,55,33,2309200
17,6,2,999906,59,35,2310400
18,6,2,999900,63,37,2261800
19,9,1,999891,71,38,2274300
20,11,3,999880,79,41,2263200
21,8,4,999872,83,45,2546700
22,10,3,999862,90,48,2306500
23,9,2,999853,97,50,2306500
24,10,2,999843,105,52,2325500
25,7,5,999836,107,57,2279500
26,12,6,999824,113,63,2257700
27,15,2,999809,126,65,2762000
28,12,5,999797,133,70,2474300
29,10,7,999787,136,77,2329300
30,5,7,999782,134,84,2398200
31,10,7,999772,137,91,2359700
32,16,10,999756,143,101,2318300
33,13,7,999743,149,108,2402600
34,13,5,999730,157,113,2401600
35,12,0,999718,169,113,2407200
36,14,9,999704,174,122,2332600
37,17,10,999687,181,132,2328100
38,19,10,999668,190,142,2633100
39,19,10,999649,199,152,2331300
40,23,5,999626,217,157,2286600
41,15,17,999611,215,174,2314600
42,18,12,999593,221,186,2281400
43,17,9,999576,229,195,2317100
44,14,16,999562,227,211,2665700
45,22,21,999540,228,232,2675800
46,17,6,999523,239,238,2271900
47,28,12,999495,255,250,2358700
48,29,17,999466,267,267,2264600
49,26,11,999440,282,278,2473000
50,18,14,999422,286,292,2655200
51,29,12,999393,303,304,2388500
52,26,19,999367,310,323,2421700
53,25,16,999342,319,339,2376800
54,24,19,999318,324,358,2370900
55,21,17,999297,328,375,2358600
56,31,14,999266,345,389,2328600
57,31,19,999235,357,408,2327000
