Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,62493,7,0,2631400
1,3,1,62490,9,1,2167500
2,3,2,62487,10,3,2485800
3,2,0,62485,12,3,2207000
4,2,1,62483,13,4,2327600
5,2,0,62481,15,4,1884100
6,4,0,62477,19,4,1883600
7,3,0,62474,22,4,2187900
8,1,0,62473,23,4,1898400
9,0,0,62473,23,4,2109500
10,5,2,62468,26,6,1613100
11,6,0,62462,32,6,1808400
12,2,3,62460,31,9,1914500
13,9,3,62451,37,12,1817600
14,12,2,62440,46,14,1967400
15,7,4,62432,50,18,1689200
16,11,5,62422,55,23,2087200
17,3,4,62418,55,27,1831400
18,6,0,62412,61,27,1812000
19,12,5,62400,68,32,2015300
20,14,3,62386,79,35,2041800
21,8,6,62378,81,41,2209300
22,12,7,62366,86,48,1992700
23,10,4,62357,91,52,381000
24,14,6,62342,100,58,71600
25,16,6,62327,109,64,71700
26,18,7,62309,120,71,64800
27,16,7,62293,129,78,58300
28,11,13,62281,128,91,65300
29,22,4,62260,145,95,78900
30,18,4,62242,159,99,91200
31,20,7,62221,173,106,88500
32,25,11,62196,187,117,113300
33,21,5,62177,201,122,72000
34,24,14,62151,213,136,75600
35,21,11,62132,221,147,65300
36,27,3,62104,246,150,64600
37,31,11,62075,264,161,71600
38,24,17,62049,273,178,59100
39,27,19,62021,282,197,92400
40,37,12,61986,305,209,80600
41,31,15,61954,322,224,67700
42,23,19,61930,327,243,72600
43,33,12,61897,348,255,519800
44,23,23,61876,346,278,1170300
45,32,13,61842,367,291,2394600
46,32,20,61811,378,311,2350300
47,39,20,61771,398,331,2186500
48,33,13,61740,416,344,2352600
49,26,17,61713,426,361,1564300
50,38,21,61674,444,382,1998800
51,27,24,61648,446,406,2057900
52,22,28,61625,441,434,1877400
53,33,24,61594,448,458,2010600
54,33,21,61559,462,479,1800700
55,29,25,61531,465,504,2074100
56,35,24,61496,476,528,1810400
57,37,23,61458,491,551,1492700
58,40,32,61418,499,583,2100600
59,30,25,61389,503,608,1900900
60,49,26,61339,527,634,1719600
61,52,27,61288,551,661,1558900
62,40,32,61248,559,693,2332100
63,37,24,61210,573,717,1762700
64,41,37,61169,577,754,2074600
65,50,28,61119,599,782,1864400
66,34,34,61085,599,816,1132300
67,29,29,61056,599,845,90100
68,46,24,61013,618,869,82600
69,42,37,60968,626,906,76900
70,53,39,60917,638,945,615400
71,60,32,60855,668,977,1262400
72,42,37,60813,673,1014,2433400
73,51,34,60763,689,1048,2142200
74,45,39,60719,694,1087,2238700
75,42,25,60676,712,1112,2285500
76,45,34,60632,722,1146,2324300
77,53,41,60578,735,1187,2334600
78,39,39,60539,735,1226,2387300
79,38,39,60501,734,1265,2465900
80,38,29,60463,743,1294,2427600
81,38,29,60426,751,1323,2501700
82,55,48,60371,758,1371,1742500
83,52,41,60320,768,1412,77100
84,35,33,60284,771,1445,64400
85,48,40,60235,780,1485,69200
86,60,44,60175,796,1529,63200
87,41,39,60134,798,1568,78500
88,49,39,60085,808,1607,67100
89,48,45,60036,812,1652,72300
90,36,47,60001,800,1699,65700
91,42,46,59959,796,1745,68800
92,53,45,59906,804,1790,99900
93,52,38,59853,819,1828,68200
94,41,43,59813,816,1871,65500
95,62,43,59753,833,1914,69300
96,40,49,59710,827,1963,71400
97,55,40,59656,841,2003,63500
98,56,51,59601,845,2054,65500
99,52,37,59549,860,2091,64800
100,41,52,59507,850,2143,67100
101,44,53,59464,840,2196,71000
102,42,45,59420,839,2241,66200
103,43,45,59379,835,2286,69600
104,38,41,59339,834,2327,63300
105,39,38,59300,835,2365,62400
106,45,44,59255,836,2409,72000
107,53,46,59205,840,2455,78200
108,45,51,59158,836,2506,65100
109,42,49,59117,828,2555,72200
110,42,55,59073,817,2610,93200
111,42,47,59031,812,2657,65000
112,57,41,58975,827,2698,80100
113,56,53,58920,829,2751,87600
114,38,47,58882,820,2798,83200
115,49,48,58831,823,2846,61400
116,61,41,58771,842,2887,54900
117,55,45,58717,851,2932,75800
118,58,44,58658,866,2976,64100
119,42,53,58615,856,3029,59900
120,47,44,58569,858,3073,63700
121,57,45,58512,870,3118,66100
122,45,50,58467,865,3168,70700
123,71,59,58398,875,3227,91000
124,57,46,58339,888,3273,81500
125,42,44,58296,887,3317,77100
126,60,44,58241,898,3361,90100
127,54,43,58185,911,3404,111500
128,68,51,58115,930,3455,80200
129,50,42,58069,934,3497,74700
130,68,53,57997,953,3550,65300
131,56,39,57941,970,3589,78800
132,59,52,57881,978,3641,55300
133,66,51,57815,993,3692,54500
134,70,43,57747,1018,3735,57500
135,73,49,57674,1042,3784,62400
136,64,62,57609,1045,3846,95300
137,83,53,57526,1075,3899,63000
138,88,60,57437,1104,3959,83100
139,63,60,57375,1106,4019,67900
140,70,51,57306,1124,4070,48900
141,59,54,57247,1129,4124,73400
142,83,55,57163,1158,4179,57100
143,59,69,57105,1147,4248,60000
144,71,56,57033,1163,4304,63400
145,68,57,56964,1175,4361,58000
146,75,72,56891,1176,4433,76200
147,68,59,56823,1185,4492,84600
148,88,63,56733,1212,4555,61500
149,86,54,56649,1242,4609,56600
150,76,74,56573,1244,4683,71900
151,81,64,56491,1262,4747,60000
152,86,67,56404,1282,4814,55300
153,79,72,56329,1285,4886,74500
154,84,83,56242,1289,4969,103700
155,71,60,56172,1299,5029,82200
156,70,74,56100,1297,5103,86100
157,84,90,56020,1287,5193,75600
158,90,65,55928,1314,5258,81800
159,100,67,55829,1346,5325,84600
160,81,72,55746,1357,5397,86800
161,75,81,55675,1347,5478,77000
162,71,81,55601,1340,5559,99200
163,90,71,55511,1359,5630,89300
164,96,67,55416,1387,5697,71200
165,87,76,55328,1399,5773,71500
166,74,77,55252,1398,5850,75100
167,74,74,55181,1395,5924,93300
168,97,69,55083,1424,5993,68200
169,68,76,55014,1417,6069,79100
170,92,71,54925,1435,6140,78900
171,81,71,54843,1446,6211,56500
172,109,69,54733,1487,6280,58000
173,91,75,54642,1503,6355,63100
174,69,91,54573,1481,6446,79000
175,68,82,54507,1465,6528,53100
176,93,73,54410,1489,6601,55700
177,78,70,54336,1493,6671,54600
178,73,59,54263,1507,6730,54300
179,93,72,54168,1530,6802,70000
180,85,79,54083,1536,6881,55000
181,89,86,53994,1539,6967,77400
182,111,96,53883,1554,7063,58000
183,90,86,53795,1556,7149,72700
184,80,98,53714,1539,7247,59700
185,80,69,53633,1551,7316,83000
186,99,80,53535,1569,7396,91200
187,99,77,53436,1591,7473,64800
188,93,82,53344,1601,7555,58700
189,83,101,53259,1585,7656,69900
190,88,77,53171,1596,7733,63500
191,97,87,53076,1604,7820,79200
192,86,79,52988,1613,7899,62300
193,97,85,52891,1625,7984,63700
194,107,97,52783,1636,8081,82200
195,97,78,52689,1652,8159,57300
196,108,90,52578,1673,8249,60600
197,93,88,52485,1678,8337,78300
198,86,86,52398,1679,8423,71900
199,89,92,52314,1671,8515,75200
200,88,84,52227,1674,8599,63400
201,95,79,52130,1692,8678,74100
202,111,88,52017,1717,8766,92400
203,134,83,51885,1766,8849,59800
204,108,101,51778,1772,8950,63800
205,114,100,51663,1787,9050,87100
206,91,83,51572,1795,9133,57600
207,110,88,51459,1820,9221,261500
208,119,83,51342,1854,9304,80100
209,94,100,51246,1850,9404,80100
210,103,106,51145,1845,9510,73300
211,96,96,51049,1845,9606,72800
212,104,96,50942,1856,9702,82500
213,110,96,50835,1867,9798,55100
214,134,84,50704,1914,9882,68000
215,99,83,50601,1934,9965,70200
216,106,84,50498,1953,10049,74800
217,133,106,50364,1981,10155,67900
218,102,108,50263,1974,10263,71400
219,100,103,50161,1973,10366,76400
220,109,89,50053,1992,10455,62700
221,130,110,49922,2013,10565,63000
222,119,107,49805,2023,10672,63300
223,107,109,49695,2024,10781,79900
224,120,98,49575,2046,10879,75500
225,112,117,49462,2042,10996,78700
226,106,85,49358,2061,11081,92700
227,118,102,49239,2078,11183,75200
228,118,106,49123,2088,11289,88500
229,122,99,48999,2113,11388,81600
230,113,118,48886,2108,11506,78100
231,123,107,48765,2122,11613,59900
232,130,113,48634,2140,11726,61300
233,127,102,48505,2167,11828,69000
234,102,104,48404,2164,11932,64200
235,136,101,48268,2199,12033,96400
236,130,95,48138,2234,12128,77200
237,120,117,48020,2235,12245,74300
238,114,104,47906,2245,12349,76500
239,113,121,47792,2238,12470,65400
240,85,121,47707,2202,12591,65500
241,122,124,47584,2201,12715,77600
242,131,123,47459,2203,12838,59800
243,119,115,47335,2212,12953,71800
244,119,109,47215,2223,13062,59300
245,105,101,47112,2225,13163,61100
246,119,108,46991,2238,13271,70300
247,121,133,46873,2223,13404,62200
248,130,109,46740,2247,13513,90300
249,134,110,46606,2271,13623,82100
250,102,111,46504,2262,13734,84800
251,129,111,46375,2280,13845,76000
252,112,110,46264,2281,13955,63700
253,128,109,46135,2301,14064,64400
254,130,102,46007,2327,14166,89100
255,140,144,45866,2324,14310,79500
256,102,125,45762,2303,14435,89800
257,134,121,45630,2314,14556,81200
258,117,123,45513,2308,14679,110300
259,125,107,45391,2323,14786,71100
260,96,129,45296,2289,14915,65100
261,136,116,45159,2310,15031,260300
262,154,129,45002,2338,15160,77900
263,122,115,44880,2345,15275,84200
264,131,131,44755,2339,15406,101100
265,111,119,44638,2337,15525,92400
266,129,129,44507,2339,15654,98100
267,110,136,44401,2309,15790,68200
268,110,129,44286,2295,15919,84100
269,106,112,44181,2288,16031,79600
270,111,102,44075,2292,16133,82800
271,122,105,43952,2310,16238,67200
272,97,129,43857,2276,16367,77100
273,94,108,43758,2267,16475,76100
274,120,117,43640,2268,16592,90000
275,118,109,43521,2278,16701,78700
276,115,135,43404,2260,16836,72000
277,121,112,43287,2265,16948,79500
278,109,109,43173,2270,17057,64800
279,120,130,43055,2258,17187,64000
280,111,129,42945,2239,17316,97400
281,105,116,42842,2226,17432,90300
282,136,114,42702,2252,17546,66600
283,130,125,42572,2257,17671,66200
284,131,124,42446,2259,17795,66700
285,120,122,42325,2258,17917,60400
286,136,111,42188,2284,18028,65400
287,132,123,42054,2295,18151,69700
288,139,138,41919,2292,18289,77200
289,125,140,41792,2279,18429,61900
290,134,111,41657,2303,18540,78500
291,119,115,41540,2305,18655,199200
292,96,112,41439,2294,18767,2243500
293,120,115,41323,2295,18882,2483100
294,103,127,41218,2273,19009,2199000
295,107,125,41110,2256,19134,2549700
296,105,122,41007,2237,19256,2519100
297,113,106,40895,2243,19362,2289700
298,100,123,40794,2221,19485,2292000
299,110,127,40685,2203,19612,2775400
300,126,120,40557,2211,19732,2497200
301,106,130,40453,2185,19862,2473900
302,124,116,40328,2194,19978,1034200
303,129,123,40197,2202,20101,93900
304,120,124,40078,2197,20225,63400
305,105,127,39971,2177,20352,70600
306,128,115,39846,2187,20467,74000
307,92,124,39752,2157,20591,68100
308,113,100,39642,2167,20691,74800
309,90,114,39550,2145,20805,71500
310,94,109,39457,2129,20914,78500
311,127,96,39329,2161,21010,71200
312,107,117,39220,2153,21127,71000
313,101,109,39120,2144,21236,74400
314,104,100,39016,2148,21336,73500
315,120,93,38897,2174,21429,74800
316,118,116,38778,2177,21545,74200
317,104,104,38677,2174,21649,74100
318,118,129,38561,2161,21778,83600
319,133,103,38427,2192,21881,91800
320,121,78,38307,2234,21959,76500
321,100,105,38204,2232,22064,68700
322,102,111,38101,2224,22175,71700
323,110,130,37992,2203,22305,67500
324,108,119,37888,2188,22424,73200
325,98,130,37787,2159,22554,79100
326,97,92,37687,2167,22646,72600
327,119,106,37570,2178,22752,71400
328,110,100,37459,2189,22852,52500
329,120,117,37340,2191,22969,76000
330,115,108,37224,2199,23077,66300
331,120,111,37106,2206,23188,59300
332,105,85,37000,2227,23273,74200
333,129,122,36870,2235,23395,67600
334,102,108,36766,2231,23503,73700
335,121,112,36645,2240,23615,69200
336,120,108,36527,2250,23723,70400
337,116,124,36412,2241,23847,78900
338,113,102,36299,2252,23949,76800
339,90,125,36207,2219,24074,74300
340,116,136,36098,2192,24210,80100
341,115,111,35975,2204,24321,89300
342,121,120,35856,2203,24441,74900
343,109,126,35746,2187,24567,85500
344,96,111,35651,2171,24678,78700
345,107,107,35545,2170,24785,84400
346,94,112,35450,2153,24897,80200
347,115,112,35335,2156,25009,234000
348,88,100,35246,2145,25109,81500
349,96,111,35150,2130,25220,87500
350,96,109,35054,2117,25329,73500
351,95,103,34962,2106,25432,78300
352,119,99,34841,2128,25531,76200
353,82,123,34758,2088,25654,71100
354,93,103,34669,2074,25757,79500
355,113,101,34553,2089,25858,79600
356,105,112,34447,2083,25970,79600
357,119,92,34331,2107,26062,69800
358,105,121,34225,2092,26183,89200
359,101,98,34126,2093,26281,61100
360,116,104,34009,2106,26385,69400
361,91,121,33916,2078,26506,79700
362,100,104,33817,2073,26610,79700
363,108,96,33707,2087,26706,70000
364,108,91,33601,2102,26797,79600
365,114,118,33488,2097,26915,85400
366,115,95,33372,2118,27010,82900
367,102,111,33270,2109,27121,84100
368,82,114,33187,2078,27235,76300
369,98,99,33089,2077,27334,79600
370,99,103,32990,2073,27437,88400
371,93,103,32899,2061,27540,81900
372,118,123,32780,2057,27663,69400
373,97,106,32682,2049,27769,71700
374,109,105,32572,2054,27874,72300
375,110,116,32462,2048,27990,79200
376,97,100,32365,2045,28090,69100
377,105,101,32262,2047,28191,65300
378,95,99,32167,2043,28290,92400
379,94,107,32073,2030,28397,71700
380,98,101,31974,2028,28498,86100
381,96,113,31877,2012,28611,73100
382,90,110,31786,1993,28721,78100
383,97,91,31692,1996,28812,82600
384,93,95,31605,1988,28907,63800
385,116,100,31483,2010,29007,81200
386,74,89,31408,1996,29096,82700
387,108,108,31301,1995,29204,88600
388,102,107,31198,1991,29311,74200
389,70,108,31127,1954,29419,60800
390,99,104,31030,1947,29523,80700
391,69,94,30961,1922,29617,73100
392,89,115,30872,1896,29732,78600
393,78,94,30791,1883,29826,71600
394,93,100,30700,1874,29926,126200
395,87,100,30614,1860,30026,70200
396,94,103,30519,1852,30129,69600
397,84,102,30436,1833,30231,74200
398,103,99,30336,1834,30330,73600
399,98,94,30232,1844,30424,78600
400,91,107,30143,1826,30531,67700
401,85,89,30059,1821,30620,79900
402,99,81,29961,1838,30701,76700
403,103,86,29856,1857,30787,59200
404,90,92,29765,1856,30879,72400
405,99,89,29667,1865,30968,73500
406,85,100,29580,1852,31068,76300
407,89,90,29495,1847,31158,73700
408,91,99,29404,1839,31257,69400
409,99,88,29305,1850,31345,77600
410,82,97,29220,1838,31442,69400
411,87,92,29132,1834,31534,68800
412,77,79,29055,1832,31613,64300
413,78,81,28980,1826,31694,70400
414,107,93,28873,1840,31787,71900
415,87,84,28784,1845,31871,65600
416,77,86,28708,1835,31957,78600
417,98,94,28612,1837,32051,74600
418,81,82,28530,1837,32133,80700
419,101,88,28426,1853,32221,61800
420,95,100,28334,1845,32321,74400
421,91,106,28240,1833,32427,68000
422,100,97,28141,1835,32524,69000
423,84,101,28057,1818,32625,77000
424,70,112,27989,1774,32737,60000
425,77,95,27911,1757,32832,71800
426,69,102,27840,1726,32934,65900
427,92,103,27753,1710,33037,66800
428,71,77,27681,1705,33114,62200
429,92,83,27589,1714,33197,64100
430,72,88,27515,1700,33285,74200
431,91,69,27422,1724,33354,83700
432,81,85,27341,1720,33439,75000
433,81,71,27261,1729,33510,82200
434,82,94,27181,1715,33604,71200
435,100,77,27078,1741,33681,89600
436,67,80,27011,1728,33761,91200
437,79,80,26934,1725,33841,92200
438,79,100,26855,1704,33941,89500
439,84,76,26770,1713,34017,78500
440,80,79,26692,1712,34096,64000
441,86,89,26604,1711,34185,74400
442,82,102,26524,1689,34287,93400
443,86,68,26437,1708,34355,81000
444,79,77,26359,1709,34432,79600
445,72,91,26286,1691,34523,83900
446,76,104,26211,1662,34627,81000
447,70,89,26141,1643,34716,79800
448,73,83,26065,1636,34799,83800
449,73,74,25992,1635,34873,70500
450,87,73,25909,1645,34946,73200
451,71,78,25835,1641,35024,86200
452,75,79,25761,1636,35103,84700
453,77,80,25684,1633,35183,81800
454,96,80,25591,1646,35263,86800
455,80,86,25507,1644,35349,91800
456,81,102,25425,1624,35451,72500
457,92,94,25336,1619,35545,78100
458,81,78,25253,1624,35623,80200
459,74,77,25179,1621,35700,63500
460,80,97,25101,1602,35797,76000
461,77,88,25021,1594,35885,76400
462,82,83,24940,1592,35968,97000
463,73,77,24870,1585,36045,133700
464,102,96,24765,1594,36141,77200
465,62,75,24702,1582,36216,78800
466,100,81,24605,1598,36297,59400
467,82,79,24521,1603,36376,79000
468,76,89,24446,1589,36465,84900
469,68,83,24376,1576,36548,74200
470,92,77,24287,1588,36625,80800
471,68,64,24218,1593,36689,68800
472,75,89,24143,1579,36778,73100
473,70,86,24071,1565,36864,70000
474,74,82,23998,1556,36946,89700
475,83,67,23915,1572,37013,70100
476,75,76,23840,1571,37089,75600
477,84,81,23759,1571,37170,87800
478,74,89,23685,1556,37259,85100
479,77,79,23604,1558,37338,79500
480,86,78,23518,1566,37416,80600
481,70,88,23450,1546,37504,72800
482,70,81,23383,1532,37585,77600
483,82,99,23299,1517,37684,79600
484,90,83,23209,1524,37767,92100
485,89,68,23121,1544,37835,73400
486,94,77,23025,1563,37912,86700
487,75,82,22949,1557,37994,75800
488,63,82,22885,1539,38076,76100
489,82,79,22803,1542,38155,79000
490,84,86,22723,1536,38241,86200
491,79,76,22643,1540,38317,58900
492,68,88,22574,1521,38405,86200
493,59,84,22514,1497,38489,80200
494,93,89,22422,1500,38578,76400
495,66,71,22355,1496,38649,77600
496,62,68,22292,1491,38717,79500
497,65,75,22228,1480,38792,64700
498,58,66,22170,1472,38858,74000
499,79,98,22093,1451,38956,87000
500,73,67,22017,1460,39023,73300
501,78,68,21941,1468,39091,77400
502,62,72,21877,1460,39163,73800
503,60,75,21818,1444,39238,89200
504,60,66,21758,1438,39304,72000
505,62,63,21695,1438,39367,84900
506,65,80,21631,1422,39447,72100
507,67,69,21565,1419,39516,78700
508,64,67,21501,1416,39583,118300
509,83,66,21418,1433,39649,85500
510,68,65,21350,1436,39714,75400
511,83,69,21267,1450,39783,72200
512,67,69,21202,1446,39852,76400
513,79,84,21121,1443,39936,68000
514,69,79,21053,1432,40015,69600
515,83,68,20968,1449,40083,78300
516,79,82,20890,1445,40165,70000
517,76,71,20816,1448,40236,74600
518,76,73,20738,1453,40309,64700
519,66,85,20672,1434,40394,64800
520,84,75,20586,1445,40469,74000
521,86,71,20501,1459,40540,85300
522,75,71,20427,1462,40611,91600
523,79,84,20346,1459,40695,86800
524,84,72,20263,1470,40767,67000
525,70,78,20192,1463,40845,70300
526,70,73,20122,1460,40918,75800
527,75,70,20049,1463,40988,66600
528,70,82,19978,1452,41070,80200
529,72,81,19906,1443,41151,63700
530,64,71,19843,1435,41222,75200
531,74,71,19769,1438,41293,75700
532,62,61,19707,1439,41354,64200
533,66,74,19639,1433,41428,62400
534,63,79,19577,1416,41507,72900
535,74,70,19502,1421,41577,79200
536,82,70,19422,1431,41647,60300
537,69,82,19353,1418,41729,72400
538,86,77,19266,1428,41806,79600
539,62,89,19205,1400,41895,59700
540,73,70,19132,1403,41965,88500
541,80,65,19050,1420,42030,76900
542,67,74,18986,1410,42104,76900
543,57,77,18929,1390,42181,81300
544,61,62,18866,1391,42243,80400
545,69,61,18803,1393,42304,80600
546,51,79,18745,1372,42383,78200
547,63,62,18686,1369,42445,72500
548,69,79,18614,1362,42524,76700
549,71,66,18545,1365,42590,80800
550,64,72,18479,1359,42662,77300
551,61,62,18417,1359,42724,72400
552,51,74,18367,1335,42798,93600
553,50,72,18318,1312,42870,100400
554,60,67,18257,1306,42937,76600
555,49,64,18209,1290,43001,85200
556,67,62,18140,1297,43063,93300
557,67,71,18076,1290,43134,79200
558,67,63,18010,1293,43197,69800
559,56,65,17950,1288,43262,87800
560,70,59,17882,1297,43321,74600
561,57,60,17825,1294,43381,77400
562,67,50,17756,1313,43431,92000
563,66,63,17692,1314,43494,87100
564,58,73,17633,1300,43567,93600
565,54,60,17579,1294,43627,81600
566,52,51,17530,1292,43678,96400
567,71,73,17455,1294,43751,95600
568,63,67,17392,1290,43818,81200
569,58,64,17335,1283,43882,89500
570,61,80,17274,1264,43962,98600
571,63,59,17211,1268,44021,81700
572,62,59,17149,1271,44080,66200
573,62,67,17089,1264,44147,68300
574,63,65,17024,1264,44212,75600
575,58,56,16967,1265,44268,67400
576,56,68,16910,1254,44336,70200
577,58,57,16853,1254,44393,69500
578,47,67,16806,1234,44460,69300
579,62,52,16743,1245,44512,67400
580,69,63,16674,1251,44575,74900
581,59,52,16614,1259,44627,65800
582,51,72,16565,1236,44699,58400
583,70,77,16495,1229,44776,59400
584,61,70,16433,1221,44846,74300
585,59,66,16374,1214,44912,75500
586,71,68,16303,1217,44980,77900
587,66,59,16239,1222,45039,78300
588,61,61,16176,1224,45100,79800
589,65,62,16111,1227,45162,63700
590,60,58,16053,1227,45220,72500
591,61,57,15992,1231,45277,70700
592,62,69,15929,1225,45346,71200
593,71,66,15859,1229,45412,71100
594,67,75,15792,1221,45487,63000
595,65,58,15724,1231,45545,70200
596,61,61,15664,1230,45606,57600
597,60,60,15603,1231,45666,77200
598,58,49,15545,1240,45715,75800
599,62,59,15484,1242,45774,63300
600,60,58,15423,1245,45832,66500
601,49,66,15376,1226,45898,73900
602,48,80,15327,1195,45978,72600
603,47,61,15284,1177,46039,77200
604,53,58,15229,1174,46097,95300
605,66,54,15162,1187,46151,70700
606,51,59,15111,1179,46210,69300
607,63,55,15046,1189,46265,83100
608,58,60,14988,1187,46325,71300
609,68,61,14920,1194,46386,81400
610,47,68,14873,1173,46454,72400
611,61,63,14814,1169,46517,77900
612,72,51,14745,1187,46568,67200
613,59,55,14683,1194,46623,113300
614,59,60,14623,1194,46683,84900
615,64,61,14558,1198,46744,82000
616,68,68,14491,1197,46812,70300
617,52,49,14438,1201,46861,76100
618,62,70,14376,1193,46931,83000
619,57,60,14320,1189,46991,70400
620,56,62,14264,1183,47053,72200
621,62,55,14201,1191,47108,63100
622,50,56,14154,1182,47164,78100
623,47,66,14105,1165,47230,79700
624,48,63,14056,1151,47293,72300
625,52,54,14006,1147,47347,81400
626,52,55,13953,1145,47402,67500
627,51,59,13902,1137,47461,74400
628,40,49,13862,1128,47510,69900
629,55,46,13808,1136,47556,90300
630,47,56,13759,1129,47612,112300
631,60,67,13699,1122,47679,111600
632,42,57,13657,1107,47736,76100
633,51,51,13607,1106,47787,113200
634,60,53,13547,1113,47840,79200
635,67,71,13481,1108,47911,92000
636,63,57,13419,1113,47968,97100
637,39,55,13377,1100,48023,88000
638,46,62,13331,1084,48085,84700
639,40,56,13292,1067,48141,92100
640,51,47,13240,1072,48188,84800
641,48,55,13194,1063,48243,79700
642,64,45,13128,1084,48288,80400
643,47,67,13082,1063,48355,67900
644,51,59,13032,1054,48414,75700
645,49,60,12981,1045,48474,69700
646,48,52,12933,1041,48526,67100
647,40,49,12893,1032,48575,70400
648,50,48,12844,1033,48623,75300
649,34,41,12809,1027,48664,81100
650,57,58,12755,1023,48722,88300
651,60,40,12694,1044,48762,83500
652,60,42,12634,1062,48804,63600
653,54,64,12578,1054,48868,72600
654,53,68,12525,1039,48936,70000
655,50,47,12475,1042,48983,68300
656,68,45,12409,1063,49028,73200
657,54,53,12354,1065,49081,84700
658,48,51,12306,1062,49132,73900
659,51,44,12255,1069,49176,78700
660,41,47,12214,1063,49223,74400
661,62,59,12152,1066,49282,63500
662,59,52,12092,1074,49334,70300
663,57,54,12036,1076,49388,66000
664,66,51,11969,1092,49439,78800
665,50,56,11919,1086,49495,82900
666,45,65,11874,1066,49560,71300
667,66,66,11808,1066,49626,76800
668,58,46,11750,1078,49672,65400
669,65,52,11685,1091,49724,67700
670,54,44,11634,1098,49768,74500
671,50,41,11583,1108,49809,76400
672,70,53,11511,1127,49862,70100
673,50,67,11464,1107,49929,70800
674,55,54,11407,1110,49983,76800
675,53,57,11355,1105,50040,87800
676,55,61,11299,1100,50101,76700
677,58,50,11243,1106,50151,66100
678,55,45,11185,1119,50196,71300
679,62,59,11124,1121,50255,65900
680,55,57,11068,1120,50312,74300
681,48,62,11020,1106,50374,63900
682,62,56,10959,1111,50430,75500
683,88,48,10870,1152,50478,71800
684,66,54,10805,1163,50532,68500
685,62,56,10745,1167,50588,70000
686,62,68,10680,1164,50656,74800
687,58,58,10622,1164,50714,66900
688,64,58,10558,1170,50772,69200
689,61,53,10498,1177,50825,79500
690,66,52,10432,1191,50877,75500
691,53,62,10378,1183,50939,80500
692,60,57,10319,1185,50996,79700
693,55,54,10265,1185,51050,68200
694,62,59,10201,1190,51109,73500
695,64,60,10137,1194,51169,68100
696,66,61,10072,1198,51230,74600
697,66,76,10007,1187,51306,76200
698,75,58,9935,1201,51364,68500
699,62,83,9872,1181,51447,67200
700,54,64,9815,1174,51511,79500
701,61,67,9757,1165,51578,65300
702,62,59,9691,1172,51637,84200
703,46,53,9645,1165,51690,82900
704,60,66,9585,1159,51756,69700
705,66,64,9520,1160,51820,63100
706,63,53,9456,1171,51873,72900
707,65,67,9393,1167,51940,70300
708,56,65,9335,1160,52005,81700
709,62,63,9273,1159,52068,72400
710,44,56,9229,1147,52124,65200
711,51,58,9179,1139,52182,71300
712,51,58,9130,1130,52240,69300
713,59,74,9069,1117,52314,79800
714,59,50,9013,1123,52364,63700
