Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,62493,7,0,2266600
1,3,1,62490,9,1,2305400
2,3,2,62487,10,3,2417700
3,2,0,62485,12,3,2470000
4,2,1,62483,13,4,2449000
5,2,0,62481,15,4,2274000
6,4,0,62477,19,4,1999700
7,3,0,62474,22,4,2070000
8,1,0,62473,23,4,2353300
9,0,0,62473,23,4,1952200
10,5,2,62468,26,6,1899700
11,6,0,62462,32,6,1769800
12,2,3,62460,31,9,2242900
13,9,3,62451,37,12,1456500
14,12,2,62440,46,14,2002300
15,7,4,62432,50,18,2014300
16,11,5,62422,55,23,1889600
17,3,4,62418,55,27,1888000
18,6,0,62412,61,27,2148600
19,12,5,62400,68,32,1945600
20,14,3,62386,79,35,2045400
21,8,6,62378,81,41,2008000
22,12,7,62366,86,48,1900000
23,10,4,62357,91,52,2072900
24,14,6,62342,100,58,1627500
25,16,6,62327,109,64,1697500
26,18,7,62309,120,71,2344200
27,16,7,62293,129,78,1904300
28,11,13,62281,128,91,1785000
29,22,4,62260,145,95,1849000
30,18,4,62241,160,99,2052700
31,20,7,62221,173,106,1240100
32,25,11,62196,187,117,126900
33,21,5,62177,201,122,59900
34,24,14,62151,213,136,74000
35,21,11,62132,221,147,76100
36,27,3,62104,246,150,66500
37,31,11,62075,264,161,62800
38,24,17,62049,273,178,73100
39,26,18,62022,282,196,65700
40,33,14,61991,299,210,63100
41,30,14,61960,316,224,62000
42,24,18,61935,323,242,66000
43,31,11,61904,343,253,74200
44,26,21,61881,345,274,62200
45,31,14,61848,364,288,69000
46,33,20,61815,377,308,68500
47,34,21,61780,391,329,72900
48,34,14,61748,409,343,58300
49,24,17,61723,417,360,79400
50,32,22,61690,428,382,90900
51,24,24,61667,427,406,59700
52,18,25,61648,421,431,65000
53,31,23,61618,428,454,76600
54,25,20,61592,434,474,68500
55,34,25,61559,442,499,69800
56,31,27,61531,443,526,67400
57,32,22,61495,457,548,85300
58,39,29,61456,467,577,74100
59,25,22,61433,468,599,69700
60,43,24,61388,489,623,73900
61,44,27,61346,504,650,73900
62,35,30,61311,509,680,76800
63,28,25,61282,513,705,79000
64,34,33,61247,515,738,70800
65,40,29,61208,525,767,64400
66,33,30,61175,528,797,67400
67,27,26,61147,530,823,66400
68,35,24,61114,539,847,76700
69,37,35,61075,543,882,69700
70,54,27,61023,568,909,79800
71,59,26,60963,602,935,75500
72,35,28,60927,610,963,84300
73,57,31,60871,635,994,78200
74,41,35,60831,640,1029,66500
75,46,22,60787,662,1051,89400
76,40,34,60745,670,1085,65000
77,51,49,60692,674,1134,66800
78,40,40,60652,674,1174,69400
79,42,30,60612,684,1204,64900
80,58,30,60553,713,1234,81800
81,36,29,60518,719,1263,67300
82,65,36,60451,750,1299,61600
83,57,37,60398,766,1336,60200
84,37,43,60358,763,1379,82700
85,48,45,60309,767,1424,72400
86,38,49,60271,756,1473,69100
87,34,28,60240,759,1501,75300
88,62,39,60175,785,1540,69200
89,42,47,60133,780,1587,276100
90,44,41,60092,780,1628,84700
91,42,42,60048,782,1670,74200
92,54,40,59993,797,1710,86900
93,46,47,59948,795,1757,79000
94,42,44,59905,794,1801,78100
95,50,46,59855,798,1847,83800
96,47,33,59808,812,1880,101200
97,49,39,59762,819,1919,70300
98,55,50,59705,826,1969,80000
99,51,39,59653,839,2008,69300
100,56,46,59598,848,2054,74100
101,56,37,59543,866,2091,73600
102,54,45,59488,876,2136,65400
103,49,39,59441,884,2175,66800
104,53,46,59386,893,2221,56400
105,48,50,59339,890,2271,67100
106,40,45,59298,886,2316,66600
107,49,49,59251,884,2365,64100
108,51,62,59200,873,2427,68200
109,47,55,59153,865,2482,64300
110,54,47,59096,875,2529,65600
111,62,42,59038,891,2571,88700
112,54,45,58981,903,2616,72900
113,52,65,58928,891,2681,52200
114,60,39,58871,909,2720,59700
115,54,53,58818,909,2773,67800
116,57,44,58758,925,2817,204500
117,64,48,58695,940,2865,64900
118,65,49,58629,957,2914,67300
119,52,51,58577,958,2965,62500
120,69,47,58508,980,3012,61100
121,55,60,58454,974,3072,92900
122,61,54,58394,980,3126,68300
123,76,62,58317,995,3188,58700
124,69,53,58247,1012,3241,70800
125,64,61,58182,1016,3302,58800
126,73,47,58111,1040,3349,61500
127,67,52,58042,1057,3401,61600
128,74,58,57968,1073,3459,66100
129,52,58,57917,1066,3517,71500
130,56,59,57860,1064,3576,52000
131,47,40,57814,1070,3616,59400
132,56,59,57758,1067,3675,68600
133,57,54,57702,1069,3729,65000
134,70,45,57630,1096,3774,62500
135,69,42,57561,1123,3816,67600
136,63,58,57499,1127,3874,67600
137,76,66,57426,1134,3940,63500
138,71,64,57355,1141,4004,62400
139,66,48,57289,1159,4052,65200
140,62,44,57224,1180,4096,64900
141,66,55,57160,1189,4151,59200
142,73,67,57085,1197,4218,60900
143,77,64,57012,1206,4282,71400
144,82,62,56926,1230,4344,60500
145,80,53,56846,1257,4397,53100
146,87,65,56759,1279,4462,113400
147,67,72,56693,1273,4534,62800
148,70,70,56621,1275,4604,64100
149,84,64,56542,1290,4668,67700
150,69,67,56469,1296,4735,286400
151,91,68,56379,1318,4803,70900
152,79,66,56300,1331,4869,74900
153,77,66,56224,1341,4935,74500
154,82,93,56140,1332,5028,79000
155,66,67,56076,1329,5095,67900
156,77,76,55999,1330,5171,69700
157,75,88,55923,1318,5259,71000
158,99,61,55830,1350,5320,67400
159,87,80,55738,1362,5400,73200
160,79,73,55659,1368,5473,84600
161,90,71,55569,1387,5544,79800
162,72,80,55497,1379,5624,61300
163,98,73,55397,1406,5697,77300
164,91,76,55307,1420,5773,73800
165,82,78,55224,1425,5851,79400
166,73,69,55153,1427,5920,88900
167,81,72,55070,1438,5992,85800
168,90,73,54980,1455,6065,63200
169,91,82,54889,1464,6147,74600
170,82,78,54809,1466,6225,104900
171,94,84,54715,1476,6309,82200
172,99,75,54617,1499,6384,71200
173,88,76,54528,1512,6460,111400
174,81,82,54445,1513,6542,69300
175,94,66,54351,1541,6608,70700
176,80,88,54271,1533,6696,75900
177,89,87,54182,1535,6783,72000
178,75,68,54108,1541,6851,70200
179,90,80,54017,1552,6931,53300
180,92,81,53926,1562,7012,61800
181,74,93,53852,1543,7105,78700
182,108,101,53745,1549,7206,60700
183,101,87,53644,1563,7293,83300
184,118,80,53525,1602,7373,64200
185,74,89,53449,1589,7462,84300
186,100,77,53352,1609,7539,71100
187,94,77,53256,1628,7616,56700
188,95,80,53163,1641,7696,66400
189,107,95,53058,1651,7791,64800
190,80,73,52978,1658,7864,106100
191,97,83,52878,1675,7947,66500
192,77,91,52801,1661,8038,61900
193,105,80,52699,1683,8118,68100
194,100,104,52598,1680,8222,67500
195,99,75,52499,1704,8297,63900
196,117,104,52382,1717,8401,59200
197,112,82,52269,1748,8483,100300
198,101,88,52166,1763,8571,73300
199,93,88,52074,1767,8659,82900
200,104,78,51970,1793,8737,68600
201,101,98,51870,1795,8835,84300
202,105,98,51766,1801,8933,86800
203,103,107,51665,1795,9040,89200
204,111,91,51553,1816,9131,75600
205,122,104,51432,1833,9235,85700
206,104,73,51325,1867,9308,76300
207,89,99,51234,1859,9407,77000
208,118,87,51118,1888,9494,78100
209,95,103,51022,1881,9597,69000
210,93,101,50928,1874,9698,263400
211,100,95,50833,1874,9793,74800
212,107,99,50721,1887,9892,72900
213,104,99,50619,1890,9991,68800
214,98,92,50523,1894,10083,68400
215,82,75,50437,1905,10158,61800
216,112,91,50328,1923,10249,69700
217,111,110,50214,1927,10359,71400
218,103,100,50111,1930,10459,81200
219,94,99,50017,1925,10558,69900
220,100,82,49918,1942,10640,71800
221,108,105,49809,1946,10745,82900
222,108,116,49703,1936,10861,69000
223,99,91,49603,1945,10952,74700
224,97,101,49505,1942,11053,70200
225,123,98,49384,1965,11151,78400
226,107,83,49277,1989,11234,82900
