Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,1,0,562494,6,0,1371300
1,3,0,562491,9,0,1264600
2,2,1,562489,10,1,1227900
3,1,1,562488,10,2,1231300
4,3,0,562485,13,2,1224500
5,3,0,562482,16,2,1220200
6,2,1,562480,17,3,1219200
7,1,0,562479,18,3,1218100
8,6,1,562473,23,4,1219100
9,4,0,562469,27,4,1327000
10,9,1,562460,35,5,1523500
11,9,2,562451,42,7,1226000
12,10,1,562441,51,8,1232000
13,7,2,562434,56,10,1237800
14,9,2,562425,63,12,1236100
15,8,1,562417,70,13,1236100
16,12,3,562405,79,16,1222700
17,10,2,562395,87,18,1223500
18,9,1,562386,95,19,1237300
19,11,6,562375,100,25,1223900
20,15,5,562360,110,30,1231000
21,16,5,562344,121,35,1255600
22,9,2,562335,128,37,1227800
23,10,4,562325,134,41,1227300
24,15,9,562310,140,50,1225600
25,9,9,562301,140,59,1232100
26,12,10,562289,142,69,1222900
27,15,12,562274,145,81,1221000
28,16,12,562258,149,93,1226600
29,12,7,562246,154,100,1226600
30,9,13,562237,150,113,1222000
31,16,5,562221,161,118,1234800
32,11,11,562210,161,129,1531900
33,15,10,562195,166,139,1231800
34,15,11,562180,170,150,1214700
35,9,3,562171,176,153,1220900
36,13,5,562158,184,158,1219100
37,16,2,562142,198,160,1245100
38,23,12,562119,209,172,1227400
39,16,16,562103,209,188,1241800
40,17,13,562086,213,201,1226300
41,20,12,562066,221,213,1219400
42,20,15,562046,226,228,1220200
43,23,12,562023,237,240,1266200
44,25,13,561998,249,253,1240700
45,25,11,561973,263,264,1230200
46,20,13,561953,270,277,1237400
47,23,12,561930,281,289,1239200
48,32,14,561898,299,303,1223700
49,21,13,561877,307,316,1224200
50,29,12,561848,324,328,1244700
51,25,16,561823,333,344,1226300
52,34,22,561789,345,366,1223400
53,27,18,561762,354,384,1221300
54,36,16,561726,374,400,1241700
55,27,18,561699,383,418,1233600
56,31,21,561668,393,439,1224600
57,23,20,561645,396,459,1219600
58,30,22,561615,404,481,1223200
59,42,21,561573,425,502,1222900
60,31,9,561542,447,511,1226600
61,30,28,561512,449,539,1223700
62,36,27,561476,458,566,1228000
63,18,15,561458,461,581,1221500
64,32,19,561426,474,600,1225200
65,36,19,561390,491,619,1259000
66,41,23,561349,509,642,1224600
67,44,27,561305,526,669,1284900
68,49,28,561256,547,697,1271300
69,34,24,561222,557,721,1241600
70,48,25,561174,580,746,1265400
71,50,16,561124,614,762,1274200
72,40,35,561084,619,797,1289100
73,45,29,561039,635,826,1267700
74,35,32,561004,638,858,1265300
75,37,24,560967,651,882,1523000
76,59,35,560908,675,917,1549500
77,53,41,560855,687,958,1540300
78,49,30,560806,706,988,1629600
79,61,37,560745,730,1025,1299500
80,55,46,560690,739,1071,1272600
81,56,40,560634,755,1111,1276700
82,50,28,560584,777,1139,1298000
83,61,43,560523,795,1182,1298000
84,52,35,560471,812,1217,1260300
85,60,37,560411,835,1254,1265200
86,52,45,560359,842,1299,1338200
87,62,41,560297,863,1340,1291400
88,50,49,560247,864,1389,1287800
89,69,35,560178,898,1424,1297800
90,62,46,560116,914,1470,1330200
91,60,39,560056,935,1509,1300400
92,48,44,560008,939,1553,1289200
93,59,54,559949,944,1607,1293100
94,64,58,559885,950,1665,1338300
95,64,50,559821,964,1715,1324300
96,65,46,559756,983,1761,1309200
97,48,51,559708,980,1812,1371200
98,68,41,559640,1007,1853,1320800
99,68,47,559572,1028,1900,1325200
100,71,48,559501,1051,1948,1627400
101,70,50,559431,1071,1998,1313100
102,70,48,559361,1093,2046,1296700
103,62,56,559299,1099,2102,1273800
104,69,49,559230,1119,2151,1263500
105,69,47,559161,1141,2198,1310800
106,62,66,559099,1137,2264,1288900
107,63,64,559036,1136,2328,1270700
108,72,61,558964,1147,2389,1275200
109,77,65,558887,1159,2454,1288300
