Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,2249994,6,0,45285900
1,2,0,2249993,7,0,1510800
2,4,1,2249987,12,1,51467400
3,2,0,2249985,14,1,1531000
4,4,0,2249983,16,1,1394500
5,4,0,2249977,22,1,1321300
6,7,1,2249971,27,2,1370900
7,7,3,2249965,30,5,1245300
8,7,1,2249960,34,6,1316400
9,14,3,2249945,46,9,1343900
10,8,6,2249936,49,15,1343600
11,14,2,2249925,58,17,1190800
12,7,3,2249916,64,20,1083000
13,6,3,2249909,68,23,1121800
14,12,6,2249896,75,29,1062800
15,13,4,2249889,78,33,1135000
16,9,4,2249877,86,37,1138400
17,11,6,2249863,94,43,1081300
18,13,8,2249849,100,51,1054100
19,10,5,2249843,101,56,1181600
20,9,3,2249834,107,59,1082800
21,12,6,2249825,110,65,1131200
22,11,6,2249809,120,71,1394000
23,20,9,2249794,126,80,1399900
24,15,12,2249774,134,92,1446100
25,22,10,2249755,143,102,1432200
26,16,10,2249738,150,112,1385800
27,19,8,2249720,160,120,1392600
28,19,9,2249705,166,129,1292600
29,19,6,2249681,184,135,1335400
30,24,12,2249658,195,147,1330400
31,16,7,2249641,205,154,1513500
32,17,13,2249622,211,167,1609900
33,19,10,2249607,216,177,1385800
34,32,11,2249576,236,188,1453900
35,32,11,2249542,259,199,1356800
36,30,13,2249513,275,212,1386600
37,28,20,2249480,288,232,1309600
38,24,17,2249457,294,249,1332400
39,17,17,2249443,291,266,1215600
40,22,19,2249418,297,285,1675000
41,30,19,2249395,301,304,1347900
42,31,17,2249363,316,321,1225400
43,33,21,2249328,330,342,1916200
44,23,15,2249300,343,357,1211900
45,32,18,2249272,353,375,1199900
46,37,18,2249236,371,393,1229500
47,31,24,2249207,376,417,1282600
48,31,20,2249174,389,437,1262000
49,27,25,2249151,387,462,1192200
50,30,15,2249117,406,477,1119900
51,31,17,2249086,420,494,1118400
52,34,29,2249055,422,523,1122200
53,46,20,2249013,444,543,1145500
54,50,29,2248963,465,572,1218100
55,41,19,2248916,493,591,1202800
56,56,27,2248866,516,618,1187600
57,44,24,2248823,535,642,1221200
58,35,27,2248785,546,669,1222200
59,44,23,2248740,568,692,1283200
60,38,24,2248700,584,716,1215900
61,62,30,2248638,616,746,1263500
62,54,27,2248588,639,773,1157600
63,61,37,2248525,665,810,1166600
64,59,34,2248466,690,844,1160500
65,51,32,2248420,704,876,1108000
66,52,35,2248364,725,911,1116800
67,77,34,2248298,757,945,1410400
68,51,35,2248240,780,980,1251500
69,78,46,2248172,802,1026,1124500
70,68,47,2248097,830,1073,8226200
71,64,41,2248026,860,1114,1541800
72,57,47,2247970,869,1161,1623300
73,54,29,2247917,893,1190,1325000
74,56,52,2247858,900,1242,1236900
75,56,47,2247806,905,1289,1188000
76,68,49,2247735,927,1338,1180000
77,68,42,2247672,948,1380,1185200
78,61,40,2247611,969,1420,1111200
79,75,52,2247541,987,1472,1128500
80,68,58,2247466,1004,1530,1094800
81,83,43,2247387,1040,1573,1187200
82,71,57,2247309,1061,1630,1105400
83,85,57,2247232,1081,1687,1059400
84,64,45,2247169,1099,1732,1047100
85,72,53,2247091,1124,1785,1018800
86,72,67,2247027,1121,1852,1022600
87,78,53,2246946,1149,1905,1074000
88,72,58,2246872,1165,1963,1278500
89,97,69,2246785,1183,2032,1253900
90,83,60,2246687,1221,2092,1447500
91,76,66,2246617,1225,2158,1322900
92,58,60,2246560,1222,2218,1388800
93,78,73,2246480,1229,2291,1407500
94,69,60,2246412,1237,2351,1727400
95,81,62,2246330,1257,2413,1512900
96,82,67,2246250,1270,2480,1591700
97,85,70,2246159,1291,2550,1400700
98,71,68,2246090,1292,2618,1418900
99,93,63,2245997,1322,2681,1305600
100,97,67,2245903,1349,2748,1285700
101,89,68,2245815,1369,2816,1285400
102,101,74,2245711,1399,2890,1201500
103,91,74,2245620,1416,2964,1190300
104,87,61,2245545,1430,3025,1129700
105,102,75,2245436,1464,3100,1115200
106,89,78,2245340,1482,3178,1057600
107,91,71,2245256,1495,3249,1100300
108,121,75,2245146,1530,3324,1115900
109,90,72,2245046,1558,3396,1149000
110,93,87,2244951,1566,3483,1107800
111,92,93,2244862,1562,3576,1050200
112,102,102,2244758,1564,3678,1036900
113,83,95,2244678,1549,3773,993200
114,77,97,2244597,1533,3870,1186000
115,83,87,2244511,1532,3957,992300
116,92,79,2244423,1541,4036,1029700
117,68,77,2244347,1540,4113,1054500
118,87,83,2244267,1537,4196,1115100
119,95,77,2244170,1557,4273,1237200
120,99,68,2244075,1584,4341,1091200
121,106,84,2243968,1607,4425,1028000
122,80,71,2243886,1618,4496,1018600
123,101,70,2243788,1646,4566,1036200
124,126,78,2243667,1689,4644,1097300
125,93,88,2243572,1696,4732,1218900
126,116,109,2243458,1701,4841,1229200
127,109,82,2243346,1731,4923,1482900
128,124,78,2243224,1775,5001,1378600
129,113,93,2243112,1794,5094,1353800
130,120,110,2242990,1806,5204,1226700
131,115,89,2242875,1832,5293,1241700
132,117,89,2242759,1859,5382,1285700
133,116,96,2242653,1869,5478,1207100
134,115,104,2242521,1897,5582,1128300
135,107,91,2242423,1904,5673,1205200
136,113,91,2242310,1926,5764,1258900
137,101,102,2242203,1931,5866,1305500
138,119,108,2242093,1933,5974,1390700
139,116,87,2241972,1967,6061,1384100
140,115,114,2241860,1965,6175,1292200
141,118,87,2241745,1993,6262,1258300
142,110,104,2241622,2012,6366,1299800
143,124,101,2241502,2031,6467,1244500
144,100,117,2241409,2007,6584,1382700
145,121,101,2241283,2032,6685,1231300
146,103,111,2241181,2023,6796,1254500
147,137,107,2241047,2050,6903,1247900
148,140,99,2240906,2092,7002,1293900
149,109,113,2240792,2093,7115,1210200
150,124,107,2240676,2102,7222,1214100
151,107,113,2240561,2104,7335,1100600
152,144,120,2240423,2122,7455,1059900
153,128,108,2240296,2141,7563,1035200
154,136,108,2240152,2177,7671,995400
