Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,0,2249994,6,0,2870900
1,2,0,2249993,7,0,1456000
2,4,1,2249987,12,1,1504900
3,2,0,2249985,14,1,1391800
4,4,0,2249983,16,1,1352500
5,4,0,2249977,22,1,1278400
6,7,1,2249971,27,2,1255500
7,7,3,2249965,30,5,1318200
8,7,1,2249960,34,6,1276700
9,14,3,2249946,45,9,1227900
10,8,6,2249936,49,15,1346200
11,14,3,2249924,58,18,1382700
12,7,3,2249916,63,21,1331600
13,6,3,2249908,68,24,1292600
14,11,6,2249897,73,30,1541200
15,13,4,2249890,76,34,1492100
16,8,4,2249879,83,38,1598500
17,10,6,2249867,89,44,1450800
18,9,8,2249856,92,52,1437900
19,9,2,2249851,95,54,1579500
20,9,3,2249842,101,57,1518500
21,13,6,2249833,104,63,1766200
22,12,4,2249815,118,67,1558700
23,19,7,2249801,125,74,1477600
24,16,13,2249780,133,87,1403300
25,19,10,2249764,139,97,1554700
26,13,8,2249750,145,105,1393600
27,19,8,2249732,155,113,1478100
28,20,7,2249718,162,120,1295300
29,17,7,2249695,178,127,1284400
30,23,12,2249675,186,139,1306200
31,18,7,2249656,198,146,1348400
32,19,15,2249633,206,161,1483100
33,17,10,2249617,212,171,1393300
34,36,13,2249586,230,184,1342600
35,31,12,2249550,254,196,1304600
36,29,15,2249520,269,211,1275200
37,30,19,2249492,278,230,1326700
38,23,16,2249466,288,246,1335300
39,18,16,2249453,285,262,1340500
40,24,16,2249426,296,278,1288300
41,22,21,2249407,294,299,1310800
42,31,14,2249378,309,313,1324200
43,34,17,2249338,332,330,1364600
44,25,15,2249312,343,345,1302600
45,29,18,2249284,353,363,1649600
46,32,18,2249254,365,381,1273100
47,32,20,2249225,374,401,1255100
48,35,22,2249187,390,423,1315300
49,23,22,2249166,389,445,1367400
50,27,18,2249137,400,463,1278200
51,34,22,2249106,409,485,1306700
52,41,22,2249064,429,507,1218700
53,48,23,2249022,448,530,1244300
54,45,32,2248976,462,562,1324200
55,36,20,2248935,483,582,1335800
56,55,24,2248887,507,606,1380800
57,44,24,2248836,534,630,1249300
58,31,28,2248807,535,658,1478000
59,40,23,2248770,549,681,1356700
60,38,22,2248729,568,703,1254800
61,53,28,2248676,593,731,1218000
62,49,29,2248629,611,760,1495700
63,54,37,2248574,629,797,1490500
64,54,32,2248522,649,829,2348600
65,52,29,2248475,667,858,1706900
66,44,36,2248420,686,894,1636600
67,62,38,2248367,701,932,1555900
68,56,28,2248311,729,960,1396000
69,79,40,2248240,760,1000,1445400
70,63,44,2248172,784,1044,1430100
71,61,36,2248107,813,1080,1368900
72,45,50,2248057,813,1130,1312500
73,58,33,2247999,838,1163,1274600
74,56,51,2247949,837,1214,1337200
75,55,43,2247888,855,1257,1227200
76,67,46,2247828,869,1303,1317300
77,56,41,2247769,887,1344,1400100
78,71,37,2247702,917,1381,1374100
79,76,50,2247629,940,1431,1443300
80,65,58,2247560,951,1489,1296200
81,80,41,2247478,992,1530,1429900
82,81,60,2247393,1017,1590,1390600
83,76,56,2247324,1030,1646,1245100
84,63,47,2247264,1043,1693,1373900
85,60,51,2247200,1056,1744,1417800
86,90,54,2247114,1088,1798,1396000
87,77,54,2247036,1112,1852,1313800
88,76,59,2246959,1130,1911,1518800
89,88,72,2246872,1145,1983,1335500
90,76,58,2246793,1166,2041,1304400
91,71,60,2246725,1174,2101,1300200
92,69,59,2246654,1186,2160,1309900
93,84,63,2246566,1211,2223,1407000
94,65,63,2246507,1207,2286,1518600
