Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,1,1,999994,5,1,43840300
1,3,0,999991,8,1,12118200
2,4,1,999987,11,2,2481100
3,5,1,999982,15,3,2538200
4,4,0,999978,19,3,2509300
5,5,1,999973,23,4,2145100
6,4,1,999969,26,5,1932500
7,2,0,999967,28,5,2550500
8,6,4,999961,30,9,2394700
9,4,2,999957,32,11,2194900
10,6,1,999951,37,12,1816000
11,4,0,999947,41,12,2469800
12,6,1,999941,46,13,1737800
13,3,3,999938,46,16,1501800
14,4,3,999934,47,19,1579800
15,5,1,999929,51,20,2990900
16,8,4,999921,55,24,4933300
17,7,2,999914,60,26,9195900
18,5,3,999909,62,29,5981100
19,7,3,999902,66,32,3672700
20,9,3,999893,72,35,2434300
21,11,2,999882,81,37,3435100
22,9,4,999873,86,41,3837100
23,7,9,999866,84,50,2517900
24,6,2,999860,88,52,2551900
25,12,5,999848,95,57,2102600
26,10,2,999838,103,59,2146900
27,12,5,999826,110,64,5472800
28,6,5,999820,111,69,2100200
29,10,7,999810,114,76,2096200
30,13,6,999797,121,82,2133300
31,8,7,999789,122,89,2022800
32,11,7,999778,126,96,1884800
33,13,8,999765,131,104,1923500
34,9,8,999756,132,112,1844400
35,11,4,999745,139,116,2027200
36,11,6,999734,144,122,2021500
37,16,13,999718,147,135,1990500
38,12,6,999706,153,141,2102400
39,19,4,999687,168,145,1971700
40,21,5,999666,184,150,2197500
41,16,14,999650,186,164,1953300
42,14,6,999636,194,170,1970500
43,16,9,999620,201,179,1961300
44,14,9,999606,206,188,1961700
45,18,9,999588,215,197,1966600
46,14,10,999574,219,207,1894900
47,21,7,999553,233,214,2007200
48,12,15,999541,230,229,1946200
49,28,15,999513,243,244,1832400
50,17,15,999496,245,259,1810000
51,14,11,999482,248,270,1816500
52,19,10,999463,257,280,1919800
53,21,15,999442,263,295,1804000
54,19,9,999423,273,304,1806700
55,25,10,999398,288,314,1835200
56,27,14,999371,301,328,1817700
57,22,12,999349,311,340,2074300
58,29,15,999320,325,355,1813800
59,30,16,999290,339,371,1808200
60,21,9,999269,351,380,1811400
61,25,15,999244,361,395,1721800
62,26,15,999218,372,410,2063200
63,30,21,999188,381,431,1756400
64,20,18,999168,383,449,1775100
65,28,18,999140,393,467,1773300
66,34,14,999106,413,481,1792700
67,27,20,999079,420,501,1851000
68,36,22,999043,434,523,1862400
69,31,19,999012,446,542,1885000
70,33,26,998979,453,568,2316800
71,29,27,998950,455,595,2135800
72,30,24,998920,461,619,1948100
73,27,19,998893,469,638,1896600
74,35,16,998858,488,654,1898500
75,37,17,998821,508,671,1881600
76,36,21,998785,523,692,1819400
77,35,30,998750,528,722,2171600
78,45,26,998705,547,748,1853300
79,36,28,998669,555,776,1933200
80,41,30,998628,566,806,1881500
81,38,32,998590,572,838,2260700
82,45,23,998545,594,861,2018700
83,42,34,998503,602,895,1904800
84,32,31,998471,603,926,1982300
85,47,38,998424,612,964,1925900
86,33,29,998391,616,993,1858700
87,45,32,998346,629,1025,2025800
88,44,43,998302,630,1068,1859300
89,49,38,998253,641,1106,1991500
90,42,44,998211,639,1150,2024500
91,38,33,998173,644,1183,2061700
92,44,37,998129,651,1220,1903500
93,42,28,998087,665,1248,1930200
94,47,25,998040,687,1273,1953800
95,50,34,997990,703,1307,2219900
96,55,38,997935,720,1345,1934800
97,46,40,997889,726,1385,1866100
98,55,40,997834,741,1425,1941700
99,56,38,997778,759,1463,1860100
100,48,37,997730,770,1500,1927800
101,62,44,997668,788,1544,1968000
102,52,28,997616,812,1572,1876900
103,66,43,997550,835,1615,1970600
104,58,41,997492,852,1656,2147400
105,71,43,997421,880,1699,2081800
106,58,40,997363,898,1739,1843100
107,55,42,997308,911,1781,1795400
108,38,39,997270,910,1820,1908200
109,62,54,997208,918,1874,1888800
110,67,46,997141,939,1920,2156900
111,53,55,997088,937,1975,1851500
112,50,54,997038,933,2029,1839100
113,56,47,996982,942,2076,1877600
114,45,47,996937,940,2123,1975000
115,49,51,996888,938,2174,1849600
116,44,54,996844,928,2228,1870900
117,58,55,996786,931,2283,1881300
118,70,54,996716,947,2337,2251400
119,54,49,996662,952,2386,1951100
120,57,56,996605,953,2442,2155900
121,56,44,996549,965,2486,1865500
122,50,68,996499,947,2554,2035800
123,44,47,996455,944,2601,1815300
124,45,42,996410,947,2643,1874300
125,47,49,996363,945,2692,2265500
126,41,49,996322,937,2741,1915900
127,48,52,996274,933,2793,2033600
128,52,43,996222,942,2836,1810700
129,63,51,996159,954,2887,1882100
130,65,41,996094,978,2928,1967100
131,56,37,996038,997,2965,1903700
132,66,42,995972,1021,3007,1967300
133,58,48,995914,1031,3055,1966600
134,63,49,995851,1045,3104,1992200
135,60,39,995791,1066,3143,1904600
136,77,61,995714,1082,3204,1879400
137,66,63,995648,1085,3267,1969400
138,70,56,995578,1099,3323,1826000
139,76,51,995502,1124,3374,1929600
140,63,57,995439,1130,3431,1890200
141,65,58,995374,1137,3489,2053500
142,61,55,995313,1143,3544,1858900
143,61,39,995252,1165,3583,1940100
144,70,54,995182,1181,3637,1948900
145,72,60,995110,1193,3697,1857900
146,55,68,995055,1180,3765,1807500
147,68,60,994987,1188,3825,1793800
148,74,58,994913,1204,3883,1887500
149,78,65,994835,1217,3948,2045100
150,62,54,994773,1225,4002,1884200
151,76,58,994697,1243,4060,1917700
152,80,70,994617,1253,4130,1978200
153,82,54,994535,1281,4184,2180400
154,70,52,994465,1299,4236,1952700
155,73,64,994392,1308,4300,1846900
156,72,78,994320,1302,4378,2131100
157,72,80,994248,1294,4458,1925600
158,79,64,994169,1309,4522,1953600
159,67,59,994102,1317,4581,1958600
160,84,70,994018,1331,4651,1876500
161,82,63,993936,1350,4714,1906200
162,74,77,993862,1347,4791,1824300
163,71,75,993791,1343,4866,1849300
164,96,62,993695,1377,4928,1884900
165,71,78,993624,1370,5006,2002600
166,75,77,993549,1368,5083,1912400
167,72,78,993477,1362,5161,1826600
168,95,63,993382,1394,5224,1887000
169,90,59,993292,1425,5283,1822100
170,89,61,993203,1453,5344,1952600
171,95,55,993108,1493,5399,1964800
172,90,59,993018,1524,5458,1991200
173,89,75,992929,1538,5533,1922500
174,84,87,992845,1535,5620,1834700
175,80,71,992765,1544,5691,1815100
176,101,78,992664,1567,5769,2068400
177,83,73,992581,1577,5842,1906300
178,87,77,992494,1587,5919,1979600
179,79,83,992415,1583,6002,1952300
180,112,97,992303,1598,6099,1863600
181,99,88,992204,1609,6187,1952100
182,89,82,992115,1616,6269,1880800
183,91,88,992024,1619,6357,2185600
184,98,87,991926,1630,6444,1857500
185,85,89,991841,1626,6533,2207000
186,78,63,991763,1641,6596,1927300
187,94,75,991669,1660,6671,2242200
188,88,110,991581,1638,6781,1939700
189,93,75,991488,1656,6856,2143300
190,88,88,991400,1656,6944,1964300
191,95,88,991305,1663,7032,1849600
192,100,93,991205,1670,7125,2069600
193,92,79,991113,1683,7204,1829900
194,87,81,991026,1689,7285,1926500
195,92,81,990934,1700,7366,1891700
196,94,90,990840,1704,7456,1867500
197,83,75,990757,1712,7531,1853800
198,90,95,990667,1707,7626,1785800
199,92,86,990575,1713,7712,1794200
200,88,86,990487,1715,7798,2029600
201,88,83,990399,1720,7881,1799700
202,86,83,990313,1723,7964,1841700
203,84,112,990229,1695,8076,1927200
204,89,76,990140,1708,8152,1856900
205,88,70,990052,1726,8222,2453900
206,98,81,989954,1743,8303,2110100
207,107,82,989847,1768,8385,2246300
208,109,83,989738,1794,8468,1954900
209,105,96,989633,1803,8564,1804300
210,84,90,989549,1797,8654,1772900
211,100,80,989449,1817,8734,1790400
212,80,92,989369,1805,8826,1780100
213,107,88,989262,1824,8914,1941000
214,103,89,989159,1838,9003,1809400
215,100,95,989059,1843,9098,1868700
216,90,91,988969,1842,9189,1744400
217,96,105,988873,1833,9294,1748700
218,104,90,988769,1847,9384,1739500
219,102,96,988667,1853,9480,2134000
220,100,87,988567,1866,9567,1998600
221,100,89,988467,1877,9656,1739200
222,101,81,988366,1897,9737,1779700
223,84,92,988282,1889,9829,1759800
224,92,97,988190,1884,9926,1776400
225,90,84,988100,1890,10010,1798300
226,115,84,987985,1921,10094,1774000
227,95,106,987890,1910,10200,1784400
228,96,94,987794,1912,10294,1766600
229,95,85,987699,1922,10379,1744300
230,113,106,987586,1929,10485,1732900
231,114,94,987472,1949,10579,1719900
232,119,87,987353,1981,10666,1737100
233,109,110,987244,1980,10776,1731900
234,116,107,987128,1989,10883,1769800
235,105,88,987023,2006,10971,1731600
236,109,100,986914,2015,11071,1721000
237,111,103,986803,2023,11174,1709900
238,109,113,986694,2019,11287,1720200
