Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,6,0,62489,11,0,650600
1,1,1,62488,11,1,176600
2,0,0,62488,11,1,198900
3,3,1,62485,13,2,142000
4,4,0,62481,17,2,185400
5,3,0,62478,20,2,145200
6,5,2,62473,23,4,144600
7,4,0,62469,27,4,141700
8,6,0,62463,33,4,148700
9,6,2,62457,37,6,149500
10,6,3,62451,40,9,137800
11,4,2,62447,42,11,141400
12,3,2,62444,43,13,156400
13,12,2,62432,53,15,150100
14,5,1,62427,57,16,136500
15,5,4,62422,58,20,140700
16,11,7,62411,62,27,138000
17,5,1,62406,66,28,138600
18,8,3,62398,71,31,193300
19,11,3,62387,79,34,148700
20,8,2,62379,85,36,149500
21,12,7,62367,90,43,162500
22,10,6,62357,94,49,146800
23,9,7,62348,96,56,149100
24,15,6,62333,105,62,151300
25,11,7,62322,109,69,148000
26,11,5,62311,115,74,138000
27,13,4,62298,124,78,146300
28,6,8,62292,122,86,145400
29,10,6,62282,126,92,139100
30,6,8,62276,124,100,138200
31,6,7,62270,123,107,140300
32,9,7,62261,125,114,161600
33,11,9,62250,127,123,132100
34,8,11,62242,124,134,139500
35,7,8,62235,123,142,146400
36,16,9,62219,130,151,140600
37,17,6,62202,141,157,166500
38,11,10,62191,142,167,146600
39,14,4,62177,152,171,142000
40,18,4,62159,166,175,147300
41,21,12,62138,175,187,150100
42,18,12,62120,181,199,150500
43,20,7,62100,194,206,153900
44,17,9,62083,202,215,148000
45,20,6,62063,216,221,167700
46,16,11,62047,221,232,168900
47,17,15,62030,223,247,169300
48,23,10,62007,236,257,167000
49,20,14,61987,242,271,159500
50,21,9,61966,254,280,197700
51,16,11,61950,259,291,200100
52,19,10,61931,268,301,153200
53,21,12,61910,277,313,159000
54,31,11,61879,297,324,149900
55,35,15,61844,317,339,161600
56,27,12,61817,332,351,156100
57,28,14,61789,346,365,150000
58,22,20,61767,348,385,152000
59,39,21,61728,366,406,149900
60,31,20,61697,377,426,174500
61,36,20,61661,393,446,153900
62,27,21,61634,399,467,154000
63,23,30,61611,392,497,147100
64,24,29,61587,387,526,151500
65,36,18,61551,405,544,145700
66,33,17,61518,421,561,156000
67,36,17,61482,440,578,157000
68,23,23,61459,440,601,155600
69,40,20,61419,460,621,165000
70,35,22,61384,473,643,164500
71,35,30,61349,478,673,178800
72,34,21,61315,491,694,210300
73,34,19,61281,506,713,210000
74,30,22,61251,514,735,180500
75,41,25,61210,530,760,192800
76,43,21,61167,552,781,168600
77,35,32,61132,555,813,153100
78,39,28,61093,566,841,166300
79,32,30,61061,568,871,156800
80,39,25,61022,582,896,162900
81,40,31,60982,591,927,157000
82,48,35,60934,604,962,171200
83,42,33,60892,613,995,169000
84,34,21,60858,626,1016,157900
85,43,35,60815,634,1051,161300
