Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,5,0,999990,10,0,2471200
1,7,0,999983,17,0,2122800
2,4,3,999979,18,3,1893100
3,5,2,999974,21,5,1712700
4,4,1,999970,24,6,2078900
5,5,1,999965,28,7,1899700
6,7,2,999958,33,9,1769900
7,6,2,999952,37,11,1771400
8,7,0,999945,44,11,1720400
9,7,2,999938,49,13,1949200
10,6,3,999932,52,16,1832700
11,10,3,999922,59,19,1996300
12,2,2,999920,59,21,1931600
13,7,4,999913,62,25,1887000
14,10,2,999903,70,27,1956100
15,7,2,999896,75,29,1845700
16,14,7,999882,82,36,1807500
17,14,5,999868,91,41,1737800
18,9,4,999859,96,45,1741700
19,14,4,999845,106,49,2006300
20,11,5,999834,112,54,1821600
21,17,9,999817,120,63,1908200
22,12,3,999805,129,66,2005500
23,13,4,999792,138,70,1772600
24,13,5,999779,146,75,1795800
25,13,11,999766,148,86,1822200
26,16,11,999750,153,97,1851500
27,12,12,999738,153,109,1808200
28,15,6,999723,162,115,1797500
29,15,8,999708,169,123,1874900
30,17,3,999691,183,126,1942700
31,15,3,999676,195,129,1856200
32,18,8,999658,205,137,1749000
33,23,7,999635,221,144,1826900
34,16,10,999619,227,154,1801900
35,17,13,999602,231,167,1740000
36,22,11,999580,242,178,1793600
37,19,10,999561,251,188,1745500
38,21,15,999540,257,203,1804600
39,19,18,999521,258,221,1914300
40,17,11,999504,264,232,1771200
41,15,9,999489,270,241,1801200
42,23,17,999466,276,258,1755500
43,21,13,999445,284,271,1768200
44,20,17,999425,287,288,1904100
45,20,14,999405,293,302,1766300
46,17,15,999388,295,317,1772300
47,24,23,999364,296,340,1837000
48,23,17,999341,302,357,1843700
49,24,17,999317,309,374,1778600
50,16,16,999301,309,390,1765300
51,25,14,999276,320,404,1716500
52,28,12,999248,336,416,1699900
53,25,9,999223,352,425,1697400
54,34,20,999189,366,445,1736800
55,32,20,999157,378,465,1811900
56,25,15,999132,388,480,1694500
57,36,24,999096,400,504,1657900
58,31,25,999065,406,529,1698600
59,36,25,999029,417,554,1900900
60,27,18,999002,426,572,1715600
61,36,17,998966,445,589,1818600
62,37,24,998929,458,613,1816900
63,34,11,998895,481,624,1788200
64,39,27,998856,493,651,1769800
65,43,30,998813,506,681,1820200
66,49,21,998764,534,702,1770700
67,44,26,998720,552,728,1767700
68,40,31,998680,561,759,1869600
69,42,27,998638,576,786,1773300
70,46,33,998592,589,819,1790000
71,54,28,998538,615,847,1759100
72,39,29,998499,625,876,1777100
73,40,18,998459,647,894,1743400
74,45,34,998414,658,928,1966700
75,54,37,998360,675,965,1789100
76,41,32,998319,684,997,1783100
77,52,30,998267,706,1027,1754700
78,59,44,998208,721,1071,2078500
79,48,44,998160,725,1115,1847400
