Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,5,0,62490,10,0,196500
1,1,0,62489,11,0,189900
2,0,1,62489,10,1,142400
3,6,0,62483,16,1,133300
4,4,2,62479,18,3,133400
5,2,0,62477,20,3,127100
6,3,1,62474,22,4,125100
7,4,2,62470,24,6,125900
8,4,0,62466,28,6,126900
9,3,2,62463,29,8,127200
10,3,2,62460,30,10,134200
11,4,1,62456,33,11,128600
12,3,1,62453,35,12,127100
13,8,4,62445,39,16,245100
14,4,1,62441,42,17,148900
15,6,1,62435,47,18,188800
16,10,2,62425,55,20,137700
17,9,3,62416,61,23,145400
18,5,3,62411,63,26,145100
19,7,5,62404,65,31,126100
20,6,2,62398,69,33,121800
21,11,5,62387,75,38,127500
22,5,5,62382,75,43,129300
23,8,4,62374,79,47,122600
24,14,2,62360,91,49,127400
25,11,7,62349,95,56,123600
26,11,4,62338,102,60,130400
27,7,7,62331,102,67,126500
28,14,4,62317,112,71,131100
29,13,5,62304,120,76,130100
30,9,5,62295,124,81,137700
31,10,3,62285,131,84,129100
32,13,7,62272,137,91,127700
33,18,5,62254,150,96,130200
34,22,6,62232,166,102,129400
35,17,10,62215,173,112,132300
36,18,8,62197,183,120,135100
37,16,4,62181,195,124,137500
38,16,8,62165,203,132,133600
39,19,13,62146,209,145,137700
40,20,7,62126,222,152,128000
41,18,8,62108,232,160,136200
42,21,9,62087,244,169,130700
43,22,15,62065,251,184,242200
44,18,17,62047,252,201,135800
45,16,12,62031,256,213,133700
46,15,7,62016,264,220,128000
47,21,15,61995,270,235,132700
48,24,14,61971,280,249,137400
49,25,9,61946,296,258,140600
50,22,9,61924,309,267,130800
51,19,20,61905,308,287,137900
52,33,13,61872,328,300,150300
53,26,12,61846,342,312,142500
54,25,16,61821,351,328,140900
55,26,18,61795,359,346,137600
56,29,12,61766,376,358,132900
57,37,30,61729,383,388,134700
58,36,16,61693,403,404,131300
59,30,26,61663,407,430,137500
60,25,21,61638,411,451,133200
61,23,21,61615,413,472,167200
62,26,19,61589,420,491,142400
63,28,23,61561,425,514,136300
64,36,24,61525,437,538,146100
65,37,22,61488,452,560,150800
