Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,5,0,62490,10,0,8805000
1,1,0,62489,11,0,1534000
2,0,1,62489,10,1,2228000
3,6,0,62483,16,1,3697900
4,4,2,62479,18,3,5330300
5,2,0,62477,20,3,3321100
6,3,1,62474,22,4,2987800
7,4,2,62470,24,6,550000
8,4,0,62466,28,6,521500
9,3,2,62463,29,8,518300
10,3,2,62460,30,10,576700
11,4,1,62456,33,11,874400
12,3,1,62453,35,12,593600
13,8,4,62445,39,16,570400
14,4,1,62441,42,17,765000
15,6,1,62435,47,18,515100
16,10,2,62425,55,20,818700
17,9,3,62416,61,23,690200
18,5,3,62411,63,26,859900
19,7,5,62404,65,31,584000
20,6,2,62398,69,33,544200
21,11,5,62387,75,38,883500
22,5,5,62382,75,43,937200
23,8,4,62374,79,47,718300
24,14,2,62360,91,49,631300
25,11,7,62349,95,56,538200
26,11,4,62338,102,60,575900
27,7,7,62331,102,67,528700
28,14,4,62317,112,71,523400
29,13,5,62304,120,76,529100
30,9,5,62295,124,81,741500
31,10,3,62285,131,84,526500
32,13,7,62272,137,91,707400
33,18,5,62254,150,96,640500
34,22,6,62232,166,102,550400
35,17,10,62215,173,112,4079300
36,18,8,62197,183,120,236400
37,16,4,62181,195,124,259100
38,16,8,62165,203,132,220200
39,19,13,62146,209,145,213100
40,20,7,62126,222,152,197800
41,18,8,62108,232,160,192200
42,21,9,62087,244,169,181000
43,22,15,62065,251,184,178100
44,18,17,62047,252,201,191500
45,16,12,62031,256,213,203200
46,15,7,62016,264,220,242200
47,21,15,61995,270,235,242900
48,24,14,61971,280,249,219700
49,25,9,61946,296,258,220000
50,22,9,61924,309,267,335500
51,19,20,61905,308,287,186100
52,33,13,61872,328,300,195400
53,26,12,61846,342,312,184200
54,25,16,61821,351,328,175800
55,26,18,61795,359,346,181600
56,29,12,61766,376,358,239600
57,37,30,61729,383,388,243300
58,36,16,61693,403,404,210400
59,30,26,61663,407,430,280100
60,25,21,61638,411,451,705900
61,23,21,61615,413,472,3003700
62,26,19,61589,420,491,3130200
63,28,23,61561,425,514,3110200
64,36,24,61525,437,538,3117100
65,37,22,61488,452,560,2988100
66,40,20,61448,472,580,3161800
67,21,22,61427,471,602,3183500
68,28,22,61399,477,624,3089800
69,21,26,61378,472,650,3043000
70,24,32,61354,464,682,2707400
71,28,26,61326,466,708,2441100
72,30,17,61296,479,725,2334400
73,28,16,61268,491,741,1498300
74,41,23,61227,509,764,2690100
75,33,26,61194,516,790,2575500
76,38,16,61156,538,806,2204000
77,42,23,61114,557,829,224000
78,41,27,61073,571,856,166100
79,31,31,61042,571,887,157400
80,29,33,61013,567,920,164800
81,31,28,60982,570,948,163300
82,36,26,60946,580,974,171900
83,24,23,60922,581,997,161500
84,44,32,60878,593,1029,176900
85,42,34,60836,601,1063,170900
86,39,25,60797,615,1088,158000
87,36,36,60761,615,1124,164600
88,24,29,60737,610,1153,170600
89,33,29,60704,614,1182,169400
90,40,29,60664,625,1211,170000
91,40,37,60624,628,1248,172600
92,38,27,60586,639,1275,173900
93,34,30,60552,643,1305,252800
94,41,35,60511,649,1340,179600
95,44,28,60467,665,1368,167400
96,39,25,60428,679,1393,151400
97,46,33,60382,692,1426,157100
98,39,31,60343,700,1457,165300
99,36,34,60307,702,1491,153800
100,44,35,60263,711,1526,155800
101,49,43,60214,717,1569,179300
102,58,40,60156,735,1609,191400
103,51,38,60105,748,1647,173100
104,45,40,60060,753,1687,170700
105,48,39,60012,762,1726,162200
106,52,38,59960,776,1764,180800
107,43,38,59917,781,1802,222300
108,50,39,59867,792,1841,167900
109,48,43,59819,797,1884,159400
110,53,39,59766,811,1923,170400
111,51,29,59715,833,1952,167000
112,48,53,59667,828,2005,175500
113,57,43,59610,842,2048,181100
114,47,39,59563,850,2087,170200
115,44,33,59519,861,2120,153800
116,51,38,59468,874,2158,179800
117,53,43,59415,884,2201,169000
118,47,42,59368,889,2243,177000
119,61,36,59307,914,2279,187300
120,57,40,59250,931,2319,180700
121,58,38,59192,951,2357,173600
122,53,46,59139,958,2403,163300
123,53,46,59086,965,2449,161100
124,51,54,59035,962,2503,159200
125,46,50,58989,958,2553,185700
126,52,54,58937,956,2607,192900
127,59,54,58878,961,2661,192100
128,53,45,58825,969,2706,178400
129,55,59,58770,965,2765,284700
130,45,45,58725,965,2810,169100
131,52,47,58673,970,2857,176300
132,50,61,58623,959,2918,170100
133,53,57,58570,955,2975,174500
134,53,44,58517,964,3019,175800
135,49,37,58468,976,3056,179300
136,53,43,58415,986,3099,172100
137,60,45,58355,1001,3144,178700
138,49,51,58306,999,3195,168400
139,35,55,58271,979,3250,172100
140,53,36,58218,996,3286,391100
141,60,47,58158,1009,3333,221900
142,51,55,58107,1005,3388,259400
143,60,48,58047,1017,3436,187800
144,62,45,57985,1034,3481,196300
145,62,53,57923,1043,3534,185600
146,67,54,57856,1056,3588,182400
147,53,53,57803,1056,3641,166000
148,69,62,57734,1063,3703,166200
149,58,54,57676,1067,3757,169300
150,71,57,57605,1081,3814,187100
151,64,45,57541,1100,3859,173400
152,58,52,57483,1106,3911,162300
153,60,45,57423,1121,3956,167100
154,73,61,57350,1133,4017,178300
155,75,58,57275,1150,4075,162700
156,60,54,57215,1156,4129,158400
157,60,60,57155,1156,4189,152400
158,70,59,57085,1167,4248,160800
159,70,52,57015,1185,4300,156100
160,59,48,56956,1196,4348,150300
161,87,62,56869,1221,4410,165600
162,56,63,56813,1214,4473,149800
163,72,51,56741,1235,4524,155500
164,70,72,56671,1233,4596,166200
165,78,62,56593,1249,4658,161500
166,67,71,56526,1245,4729,166600
167,71,54,56455,1262,4783,170100
168,68,60,56387,1270,4843,166400
169,69,60,56318,1279,4903,166900
170,76,71,56242,1284,4974,174500
171,72,69,56170,1287,5043,200000
172,79,54,56091,1312,5097,170000
173,66,67,56025,1311,5164,175200
174,77,69,55948,1319,5233,175400
175,84,72,55864,1331,5305,180100
176,60,81,55804,1310,5386,186000
177,74,73,55730,1311,5459,223900
178,83,58,55647,1336,5517,205900
179,75,75,55572,1336,5592,204000
180,74,68,55498,1342,5660,189900
181,78,70,55420,1350,5730,190500
182,67,64,55353,1353,5794,173400
183,61,87,55292,1327,5881,205700
184,59,69,55233,1317,5950,188800
185,80,74,55153,1323,6024,173900
186,78,60,55075,1341,6084,168000
187,82,77,54993,1346,6161,166900
188,64,80,54929,1330,6241,181100
189,83,71,54846,1342,6312,179900
190,82,51,54764,1373,6363,194500
191,66,72,54698,1367,6435,184300
192,88,63,54610,1392,6498,176200
193,79,91,54531,1380,6589,195600
