Tick,NewlyInfected,NewlyRecovered,TotalSusceptible,TotalInfected,TotalRecovered,StepTimeNanos
0,2,1,999993,6,1,2370800
1,2,0,999991,8,1,1863800
2,2,0,999989,10,1,1737900
3,5,0,999984,15,1,1740500
4,6,0,999978,21,1,1743200
5,7,1,999971,27,2,1661400
6,7,4,999964,30,6,1635500
7,3,1,999961,32,7,1627500
8,3,1,999958,34,8,1597700
9,2,1,999956,35,9,1915400
10,6,2,999950,39,11,1691100
11,4,1,999946,42,12,1620300
12,7,3,999939,46,15,1906300
13,5,0,999934,51,15,1809300
14,3,4,999931,50,19,1756800
15,7,2,999924,55,21,1795000
16,14,2,999910,67,23,1623100
17,8,1,999902,74,24,1718400
18,10,0,999892,84,24,1609900
19,13,6,999879,91,30,1652900
20,7,6,999872,92,36,1717000
21,8,5,999864,95,41,1745400
22,14,5,999850,104,46,1610500
23,9,8,999841,105,54,1570200
24,12,6,999829,111,60,1739900
25,15,6,999814,120,66,1609900
26,5,4,999809,121,70,1737100
27,12,6,999797,127,76,1665400
28,12,4,999785,135,80,1634100
29,16,4,999769,147,84,1627900
30,19,7,999750,159,91,1697600
31,13,5,999737,167,96,1683500
32,20,10,999717,177,106,1773200
33,7,9,999710,175,115,1919700
34,18,9,999692,184,124,1837800
35,22,9,999670,197,133,1765500
36,19,11,999651,205,144,1736600
37,17,8,999634,214,152,1631600
38,21,4,999613,231,156,1737600
39,15,12,999598,234,168,1745200
40,25,15,999573,244,183,1686800
41,16,13,999557,247,196,1741600
42,16,9,999541,254,205,1634200
43,16,9,999525,261,214,1626800
44,20,13,999505,268,227,1745100
45,18,11,999487,275,238,1990800
46,20,9,999467,286,247,1684900
47,20,15,999447,291,262,1673000
48,22,12,999425,301,274,1714800
49,28,12,999397,317,286,1755900
50,34,12,999363,339,298,1770000
51,26,19,999337,346,317,1652200
52,29,12,999308,363,329,1744500
53,20,23,999288,360,352,1652100
54,25,20,999263,365,372,1641700
55,26,18,999237,373,390,1779200
56,33,20,999204,386,410,1711500
57,34,15,999170,405,425,1636300
58,21,26,999149,400,451,1725900
59,34,12,999115,422,463,1625500
60,21,14,999094,429,477,1873100
61,29,20,999065,438,497,1673800
62,33,19,999032,452,516,1780500
63,23,15,999009,460,531,1627000
64,22,21,998987,461,552,1645900
65,30,29,998957,462,581,1638200
66,44,24,998913,482,605,1620700
67,30,27,998883,485,632,1695700
68,32,30,998851,487,662,1680300
69,48,29,998803,506,691,1702300
70,34,20,998769,520,711,1770600
71,33,20,998736,533,731,1972800
72,38,19,998698,552,750,1763000
73,51,26,998647,577,776,1663500
74,44,31,998603,590,807,1852900
75,31,30,998572,591,837,1931000
76,37,27,998535,601,864,1678500
77,52,33,998483,620,897,1654900
78,50,23,998433,647,920,1672800
79,53,35,998380,665,955,1660800
80,46,29,998334,682,984,1642000
81,44,49,998290,677,1033,1623100
82,56,24,998234,709,1057,1651300
83,52,32,998182,729,1089,1684200
84,41,28,998141,742,1117,1727100
85,54,34,998087,762,1151,1768000
86,62,37,998025,787,1188,1888600
87,55,45,997970,797,1233,1683600
88,56,42,997914,811,1275,1719600
89,46,42,997868,815,1317,1713000
90,59,46,997809,828,1363,1712900
91,50,45,997759,833,1408,1830900
92,54,51,997705,836,1459,1889200
93,61,42,997644,855,1501,1827000
94,67,41,997577,881,1542,1803800
95,60,42,997517,899,1584,1820000
96,48,39,997469,908,1623,1761500
97,57,39,997412,926,1662,1753900
98,66,42,997346,950,1704,1821800
99,66,40,997280,976,1744,1750500
100,55,45,997225,986,1789,1971500
101,57,50,997168,993,1839,2005900
102,57,46,997111,1004,1885,1756900
103,62,44,997049,1022,1929,1774200
104,71,53,996978,1040,1982,1853200
105,74,53,996904,1061,2035,1899000
106,67,62,996837,1066,2097,2121100
107,63,50,996774,1079,2147,1842100
108,69,46,996705,1102,2193,1775000
109,71,57,996634,1116,2250,1799700
110,58,66,996576,1108,2316,1735300
111,65,60,996511,1113,2376,1927400
112,68,59,996443,1122,2435,1789700
113,74,56,996369,1140,2491,1706400
114,62,67,996307,1135,2558,1738700
115,58,57,996249,1136,2615,1716000
116,69,56,996180,1149,2671,1734200
117,65,62,996115,1152,2733,1733700
118,66,59,996049,1159,2792,1793100
119,68,63,995981,1164,2855,1685600
120,66,53,995915,1177,2908,1717400
121,74,52,995841,1199,2960,1740300
122,74,69,995767,1204,3029,1808100
123,73,57,995694,1220,3086,1820500
124,75,57,995619,1238,3143,1663600
125,74,55,995545,1257,3198,2191000
126,75,70,995470,1262,3268,1700800
127,72,57,995398,1277,3325,1909200
128,85,73,995313,1289,3398,1944600
129,64,62,995249,1291,3460,2061300
130,73,58,995176,1306,3518,1739600
131,68,55,995108,1319,3573,1679500
132,81,71,995027,1329,3644,2053900
133,88,69,994939,1348,3713,1733500
134,83,67,994856,1364,3780,1729300
135,60,54,994796,1370,3834,2020300
136,101,50,994695,1421,3884,1707100
137,73,85,994622,1409,3969,1869500
138,102,68,994520,1443,4037,1770400
139,95,74,994425,1464,4111,1615000
140,96,70,994329,1490,4181,1747300
141,85,64,994244,1511,4245,1642600
142,100,74,994144,1537,4319,1650800
143,79,58,994065,1558,4377,1875500
144,93,73,993972,1578,4450,1663300
145,91,91,993881,1578,4541,2156400
146,104,64,993777,1618,4605,1759300
147,83,77,993694,1624,4682,1748100
148,103,86,993591,1641,4768,1761400
149,94,97,993497,1638,4865,1734000
150,101,75,993396,1664,4940,1838000
151,102,73,993294,1693,5013,1775300
152,100,88,993194,1705,5101,1736200
153,89,86,993105,1708,5187,1678800
154,92,71,993013,1729,5258,1611200
155,104,84,992909,1749,5342,1619500
156,95,84,992814,1760,5426,1627200
157,100,99,992714,1761,5525,1738500
158,109,76,992605,1794,5601,1804200
159,93,98,992512,1789,5699,1923100
160,111,104,992401,1796,5803,1687400
161,103,97,992298,1802,5900,1714500
162,111,86,992187,1827,5986,1718600
163,104,81,992083,1850,6067,1834100
164,111,88,991972,1873,6155,1766800
165,98,94,991874,1877,6249,1842600
166,116,86,991758,1907,6335,1962300
167,109,92,991649,1924,6427,1969100
168,95,105,991554,1914,6532,1718500
169,98,97,991456,1915,6629,1729300
170,117,89,991339,1943,6718,1725700
171,111,88,991228,1966,6806,1735600
172,113,94,991115,1985,6900,1721200
173,104,103,991011,1986,7003,1786000
174,120,96,990891,2010,7099,1850300
175,118,101,990773,2027,7200,1727400
176,136,101,990637,2062,7301,2005800
177,109,97,990528,2074,7398,1696700
178,121,98,990407,2097,7496,1685600
179,106,97,990301,2106,7593,1787900
180,130,102,990171,2134,7695,1769300
181,118,128,990053,2124,7823,1637700
182,119,102,989934,2141,7925,1671100
183,116,105,989818,2152,8030,2025300
184,133,100,989685,2185,8130,1736900
185,137,105,989548,2217,8235,2023700
186,140,123,989408,2234,8358,1645700
187,151,110,989257,2275,8468,1690700
188,136,111,989121,2300,8579,1752500
189,133,126,988988,2307,8705,1790800
190,129,102,988859,2334,8807,1737500
191,134,126,988725,2342,8933,1819600
192,115,94,988610,2363,9027,1777600
193,147,119,988463,2391,9146,1811900
194,124,125,988339,2390,9271,1720400
195,131,121,988208,2400,9392,1749500
196,128,114,988080,2414,9506,1775200
197,145,122,987935,2437,9628,1643700
198,125,108,987810,2454,9736,1710300
199,120,106,987690,2468,9842,1694300
200,136,115,987554,2489,9957,1920900
201,133,130,987421,2492,10087,1819100
202,131,120,987290,2503,10207,2063600
203,106,139,987184,2470,10346,1707300
204,139,120,987045,2489,10466,1836600
205,131,124,986914,2496,10590,1688600
206,127,131,986787,2492,10721,1679300
207,139,130,986648,2501,10851,1791300
208,130,130,986518,2501,10981,1782000
209,112,150,986406,2463,11131,1722000
210,116,121,986290,2458,11252,1753800
211,118,121,986172,2455,11373,1794100
212,129,111,986043,2473,11484,1990500
213,126,109,985917,2490,11593,1995900
214,135,107,985782,2518,11700,1756400
215,136,132,985646,2522,11832,1786200
216,141,127,985505,2536,11959,1692800
217,147,139,985358,2544,12098,1938600
218,133,136,985225,2541,12234,1791800
219,123,132,985102,2532,12366,1839700
220,147,106,984955,2573,12472,1753000
221,128,110,984827,2591,12582,1684200
222,122,130,984705,2583,12712,1641200
223,133,129,984572,2587,12841,1686000
224,150,119,984422,2618,12960,1722500
225,135,130,984287,2623,13090,1751200
226,142,140,984145,2625,13230,1847800
227,123,117,984022,2631,13347,1723300
228,138,116,983884,2653,13463,1785300
229,128,128,983756,2653,13591,1654800
230,120,125,983636,2648,13716,1766900
231,131,137,983505,2642,13853,1761000
232,138,146,983367,2634,13999,1775900
233,106,130,983261,2610,14129,2049500
234,124,128,983137,2606,14257,1966600
235,144,132,982993,2618,14389,1775600
236,123,151,982870,2590,14540,1671100
237,125,134,982745,2581,14674,1904700
238,128,108,982617,2601,14782,1674500
239,117,119,982500,2599,14901,1740600
240,123,126,982377,2596,15027,2252000
241,116,102,982261,2610,15129,1974000
242,116,140,982145,2586,15269,1756000
243,122,128,982023,2580,15397,1658800
244,120,121,981903,2579,15518,1660500
245,135,127,981768,2587,15645,1719600
246,126,139,981642,2574,15784,1990100
247,123,119,981519,2578,15903,1661300
248,128,121,981391,2585,16024,1639300
249,135,120,981256,2600,16144,1861300
250,116,142,981140,2574,16286,1661900
251,122,131,981018,2565,16417,1621700
252,143,121,980875,2587,16538,1668900
253,140,138,980735,2589,16676,1672000
254,130,116,980605,2603,16792,1770500
255,127,134,980478,2596,16926,1796900
256,152,138,980326,2610,17064,1732000
257,149,136,980177,2623,17200,1744600
258,131,150,980046,2604,17350,1876100
259,164,118,979882,2650,17468,1732000
260,158,127,979724,2681,17595,1835700
261,173,133,979551,2721,17728,1654100
262,167,114,979384,2774,17842,1636000
263,150,125,979234,2799,17967,1696000
264,167,134,979067,2832,18101,1676900
265,156,150,978911,2838,18251,1655300
266,143,166,978768,2815,18417,1764200
267,153,121,978615,2847,18538,1817100
268,134,143,978481,2838,18681,1645100
269,168,128,978313,2878,18809,1750400
270,153,141,978160,2890,18950,1760900
271,149,129,978011,2910,19079,1916700
272,151,121,977860,2940,19200,1789300
273,137,168,977723,2909,19368,1646000
274,152,132,977571,2929,19500,1710300
275,177,144,977394,2962,19644,1628800
276,187,162,977207,2987,19806,2021400
277,161,145,977046,3003,19951,1721300
278,177,143,976869,3037,20094,1746300
279,168,157,976701,3048,20251,1692600
280,174,150,976527,3072,20401,1729400
281,170,145,976357,3097,20546,1720200
282,165,181,976192,3081,20727,1740800
283,170,146,976022,3105,20873,1692600
284,177,140,975845,3142,21013,1693200
285,159,171,975686,3130,21184,1691500
286,152,158,975534,3124,21342,1694400
287,155,137,975379,3142,21479,1738100
288,159,156,975220,3145,21635,1730400
289,148,162,975072,3131,21797,1689000
290,159,149,974913,3141,21946,1786000
291,188,142,974725,3187,22088,1740200
292,173,145,974552,3215,22233,1719700
293,182,173,974370,3224,22406,1788500
294,179,166,974191,3237,22572,1791800
295,189,168,974002,3258,22740,1808100
296,187,165,973815,3280,22905,1725100
297,209,166,973606,3323,23071,1720600
298,195,174,973411,3344,23245,1736000
299,184,151,973227,3377,23396,1723000
300,189,148,973038,3418,23544,1732100
301,173,178,972865,3413,23722,1705500
302,178,194,972687,3397,23916,1708400
303,179,182,972508,3394,24098,1720600
304,182,171,972326,3405,24269,1712200
305,185,152,972141,3438,24421,1716100
306,156,159,971985,3435,24580,1697300
307,190,177,971795,3448,24757,1799500
308,145,183,971650,3410,24940,1718000
309,178,192,971472,3396,25132,1714700
310,170,160,971302,3406,25292,1818600
311,178,178,971124,3406,25470,1712900
312,178,185,970946,3399,25655,1890200
313,151,154,970795,3396,25809,1769800
314,174,154,970621,3416,25963,1784300
315,175,178,970446,3413,26141,1788800
316,194,176,970252,3431,26317,1800200
317,184,191,970068,3424,26508,1812600
318,179,154,969889,3449,26662,1811100
319,176,185,969713,3440,26847,1747500
320,172,175,969541,3437,27022,1779300
321,210,175,969331,3472,27197,1738600
322,168,188,969163,3452,27385,1760300
323,182,191,968981,3443,27576,1774700
324,162,168,968819,3437,27744,1957800
325,178,180,968641,3435,27924,1720200
326,194,161,968447,3468,28085,1802500
327,180,153,968267,3495,28238,1836600
328,179,173,968088,3501,28411,1753600
329,191,178,967897,3514,28589,1732900
330,184,145,967713,3553,28734,1752400
331,192,173,967521,3572,28907,1760900
332,177,196,967344,3553,29103,1732000
333,190,154,967154,3589,29257,1720800
334,198,160,966956,3627,29417,1742700
335,190,194,966766,3623,29611,1739700
336,218,191,966548,3650,29802,1739400
337,183,176,966365,3657,29978,1918700
338,197,203,966168,3651,30181,1742100
339,175,164,965993,3662,30345,1811600
340,187,186,965806,3663,30531,1729700
341,198,163,965608,3698,30694,1864600
342,169,185,965439,3682,30879,1682600
343,175,181,965264,3676,31060,1733000
344,178,205,965086,3649,31265,1719500
345,174,201,964912,3622,31466,1645900
346,187,207,964725,3602,31673,1625500
347,184,173,964541,3613,31846,1655100
348,180,200,964361,3593,32046,1701900
349,183,190,964178,3586,32236,1955600
350,199,165,963979,3620,32401,1999900
351,212,192,963767,3640,32593,1707100
352,188,188,963579,3640,32781,1860200
353,199,191,963380,3648,32972,1813500
354,199,183,963181,3664,33155,1776500
355,201,183,962980,3682,33338,1781600
356,205,174,962775,3713,33512,1770500
357,186,176,962589,3723,33688,2051500
358,204,203,962385,3724,33891,1699300
359,220,197,962165,3747,34088,1812900
360,187,197,961978,3737,34285,1837900
361,195,213,961783,3719,34498,1792900
362,196,193,961587,3722,34691,1762900
363,197,188,961390,3731,34879,1799800
364,197,179,961193,3749,35058,1941000
365,183,185,961010,3747,35243,1665700
366,207,200,960803,3754,35443,1816600
367,227,184,960576,3797,35627,1752500
368,191,188,960385,3800,35815,2470600
369,183,180,960202,3803,35995,2063200
370,204,182,959998,3825,36177,3113800
371,195,178,959803,3842,36355,2813000
372,219,207,959584,3854,36562,4429700
373,185,222,959399,3817,36784,2283900
374,212,185,959187,3844,36969,1941900
375,179,187,959008,3836,37156,2113000
376,215,179,958793,3872,37335,1888600
377,207,204,958586,3875,37539,1846200
378,183,189,958403,3869,37728,2164700
379,200,190,958203,3879,37918,1792500
380,198,189,958005,3888,38107,1937300
381,205,189,957800,3904,38296,1771000
